8000.000000 1.1634102476E+00 2.1826728000E+04
7999.000000 1.1634102413E+00 2.1824000000E+04
7998.000000 1.1634102347E+00 2.1821272000E+04
7997.000000 1.1634102277E+00 2.1818544000E+04
7996.000000 1.1634102204E+00 2.1815816000E+04
7995.000000 1.1634102127E+00 2.1813088000E+04
7994.000000 1.1634102047E+00 2.1810360000E+04
7993.000000 1.1634101964E+00 2.1807632000E+04
7992.000000 1.1634101877E+00 2.1804904000E+04
7991.000000 1.1634101788E+00 2.1802176000E+04
7990.000000 1.1634101695E+00 2.1799448000E+04
7989.000000 1.1634101599E+00 2.1796720000E+04
7988.000000 1.1634101500E+00 2.1793992000E+04
7987.000000 1.1634101398E+00 2.1791264000E+04
7986.000000 1.1634101293E+00 2.1788536000E+04
7985.000000 1.1634101185E+00 2.1785808000E+04
7984.000000 1.1634101074E+00 2.1783080000E+04
7983.000000 1.1634100961E+00 2.1780352000E+04
7982.000000 1.1634100844E+00 2.1777624000E+04
7981.000000 1.1634100725E+00 2.1774896000E+04
7980.000000 1.1634100603E+00 2.1772168000E+04
7979.000000 1.1634100478E+00 2.1769440000E+04
7978.000000 1.1634100351E+00 2.1766712000E+04
7977.000000 1.1634100221E+00 2.1763984000E+04
7976.000000 1.1634100089E+00 2.1761256000E+04
7975.000000 1.1634099954E+00 2.1758528000E+04
7974.000000 1.1634099817E+00 2.1755800000E+04
7973.000000 1.1634099677E+00 2.1753072000E+04
7972.000000 1.1634099535E+00 2.1750344000E+04
7971.000000 1.1634099391E+00 2.1747616000E+04
7970.000000 1.1634099244E+00 2.1744888000E+04
7969.000000 1.1634099095E+00 2.1742160000E+04
7968.000000 1.1634098944E+00 2.1739432000E+04
7967.000000 1.1634098791E+00 2.1736704000E+04
7966.000000 1.1634098636E+00 2.1733976000E+04
7965.000000 1.1634098478E+00 2.1731248000E+04
7964.000000 1.1634098319E+00 2.1728520000E+04
7963.000000 1.1634098158E+00 2.1725792000E+04
7962.000000 1.1634097995E+00 2.1723064000E+04
7961.000000 1.1634097829E+00 2.1720336000E+04
7960.000000 1.1634097663E+00 2.1717608000E+04
7959.000000 1.1634097494E+00 2.1714880000E+04
7958.000000 1.1634097323E+00 2.1712152000E+04
7957.000000 1.1634097151E+00 2.1709424000E+04
7956.000000 1.1634096978E+00 2.1706696000E+04
7955.000000 1.1634096802E+00 2.1703968000E+04
7954.000000 1.1634096625E+00 2.1701240000E+04
7953.000000 1.1634096447E+00 2.1698512000E+04
7952.000000 1.1634096267E+00 2.1695784000E+04
7951.000000 1.1634096086E+00 2.1693056000E+04
7950.000000 1.1634095903E+00 2.1690328000E+04
7949.000000 1.1634095719E+00 2.1687600000E+04
7948.000000 1.1634095533E+00 2.1684872000E+04
7947.000000 1.1634095347E+00 2.1682144000E+04
7946.000000 1.1634095159E+00 2.1679416000E+04
7945.000000 1.1634094970E+00 2.1676688000E+04
7944.000000 1.1634094780E+00 2.1673960000E+04
7943.000000 1.1634094589E+00 2.1671232000E+04
7942.000000 1.1634094397E+00 2.1668504000E+04
7941.000000 1.1634094204E+00 2.1665776000E+04
7940.000000 1.1634094010E+00 2.1663048000E+04
7939.000000 1.1634093815E+00 2.1660320000E+04
7938.000000 1.1634093619E+00 2.1657592000E+04
7937.000000 1.1634093423E+00 2.1654864000E+04
7936.000000 1.1634093227E+00 2.1652136000E+04
7935.000000 1.1634093038E+00 2.1649408000E+04
7934.000000 1.1634092847E+00 2.1646680000E+04
7933.000000 1.1634092656E+00 2.1643952000E+04
7932.000000 1.1634092464E+00 2.1641224000E+04
7931.000000 1.1634092271E+00 2.1638496000E+04
7930.000000 1.1634092078E+00 2.1635768000E+04
7929.000000 1.1634091883E+00 2.1633040000E+04
7928.000000 1.1634091689E+00 2.1630312000E+04
7927.000000 1.1634091493E+00 2.1627584000E+04
7926.000000 1.1634091297E+00 2.1624856000E+04
7925.000000 1.1634091099E+00 2.1622128000E+04
7924.000000 1.1634090902E+00 2.1619400000E+04
7923.000000 1.1634090703E+00 2.1616672000E+04
7922.000000 1.1634090504E+00 2.1613944000E+04
7921.000000 1.1634090304E+00 2.1611216000E+04
7920.000000 1.1634090103E+00 2.1608488000E+04
7919.000000 1.1634089901E+00 2.1605760000E+04
7918.000000 1.1634089699E+00 2.1603032000E+04
7917.000000 1.1634089496E+00 2.1600304000E+04
7916.000000 1.1634089292E+00 2.1597576000E+04
7915.000000 1.1634089087E+00 2.1594848000E+04
7914.000000 1.1634088882E+00 2.1592120000E+04
7913.000000 1.1634088675E+00 2.1589392000E+04
7912.000000 1.1634088468E+00 2.1586664000E+04
7911.000000 1.1634088261E+00 2.1583936000E+04
7910.000000 1.1634088052E+00 2.1581208000E+04
7909.000000 1.1634087843E+00 2.1578480000E+04
7908.000000 1.1634087632E+00 2.1575752000E+04
7907.000000 1.1634087422E+00 2.1573024000E+04
7906.000000 1.1634087210E+00 2.1570296000E+04
7905.000000 1.1634086997E+00 2.1567568000E+04
7904.000000 1.1634086784E+00 2.1564840000E+04
7903.000000 1.1634086570E+00 2.1562112000E+04
7902.000000 1.1634086355E+00 2.1559384000E+04
7901.000000 1.1634086139E+00 2.1556656000E+04
7900.000000 1.1634085923E+00 2.1553928000E+04
7899.000000 1.1634085705E+00 2.1551200000E+04
7898.000000 1.1634085487E+00 2.1548472000E+04
7897.000000 1.1634085268E+00 2.1545744000E+04
7896.000000 1.1634085048E+00 2.1543016000E+04
7895.000000 1.1634084828E+00 2.1540288000E+04
7894.000000 1.1634084606E+00 2.1537560000E+04
