#    L    TT             EE             BB             TE          
    91   0.243208E+04   0.629376E+00   0.244042E-02  -0.171962E+02
    92   0.246156E+04   0.644725E+00   0.249477E-02  -0.178289E+02
    93   0.249133E+04   0.660052E+00   0.254976E-02  -0.184665E+02
    94   0.252117E+04   0.675321E+00   0.260539E-02  -0.191076E+02
    95   0.255130E+04   0.690531E+00   0.266168E-02  -0.197529E+02
    96   0.258143E+04   0.705669E+00   0.271861E-02  -0.204018E+02
    97   0.261200E+04   0.720719E+00   0.277621E-02  -0.210535E+02
    98   0.264280E+04   0.735673E+00   0.283446E-02  -0.217058E+02
    99   0.267367E+04   0.750496E+00   0.289337E-02  -0.223618E+02
   100   0.270484E+04   0.765187E+00   0.295296E-02  -0.230169E+02
   101   0.273616E+04   0.779806E+00   0.301321E-02  -0.236743E+02
   102   0.276800E+04   0.794204E+00   0.307413E-02  -0.243316E+02
   103   0.279977E+04   0.808456E+00   0.313573E-02  -0.249897E+02
   104   0.283177E+04   0.822562E+00   0.319801E-02  -0.256457E+02
   105   0.286392E+04   0.836448E+00   0.326098E-02  -0.263010E+02
   106   0.289629E+04   0.850188E+00   0.332463E-02  -0.269549E+02
   107   0.292860E+04   0.863634E+00   0.338898E-02  -0.276060E+02
   108   0.296129E+04   0.876860E+00   0.345402E-02  -0.282551E+02
   109   0.299414E+04   0.889793E+00   0.351976E-02  -0.289007E+02
   110   0.302707E+04   0.902431E+00   0.358621E-02  -0.295413E+02
   111   0.306015E+04   0.914851E+00   0.365336E-02  -0.301785E+02
   112   0.309340E+04   0.926977E+00   0.372123E-02  -0.308114E+02
   113   0.312687E+04   0.938810E+00   0.378981E-02  -0.314386E+02
   114   0.316043E+04   0.950273E+00   0.385911E-02  -0.320593E+02
   115   0.319422E+04   0.961517E+00   0.392914E-02  -0.326734E+02
   116   0.322802E+04   0.972318E+00   0.399989E-02  -0.332801E+02
   117   0.326212E+04   0.982749E+00   0.407139E-02  -0.338787E+02
   118   0.329637E+04   0.992960E+00   0.414362E-02  -0.344699E+02
   119   0.333063E+04   0.100280E+01   0.421659E-02  -0.350514E+02
   120   0.336505E+04   0.101212E+01   0.429032E-02  -0.356231E+02
   121   0.339947E+04   0.102123E+01   0.436480E-02  -0.361851E+02
   122   0.343396E+04   0.102981E+01   0.444004E-02  -0.367365E+02
   123   0.346854E+04   0.103795E+01   0.451605E-02  -0.372773E+02
   124   0.350320E+04   0.104571E+01   0.459282E-02  -0.378045E+02
   125   0.353785E+04   0.105304E+01   0.467038E-02  -0.383202E+02
   126   0.357259E+04   0.105999E+01   0.474872E-02  -0.388238E+02
   127   0.360733E+04   0.106642E+01   0.482785E-02  -0.393144E+02
   128   0.364206E+04   0.107248E+01   0.490777E-02  -0.397912E+02
   129   0.367688E+04   0.107802E+01   0.498850E-02  -0.402535E+02
   130   0.371169E+04   0.108304E+01   0.507004E-02  -0.407005E+02
   131   0.374651E+04   0.108769E+01   0.515239E-02  -0.411336E+02
   132   0.378140E+04   0.109181E+01   0.523556E-02  -0.415498E+02
   133   0.381622E+04   0.109550E+01   0.531956E-02  -0.419515E+02
   134   0.385104E+04   0.109873E+01   0.540440E-02  -0.423342E+02
   135   0.388586E+04   0.110145E+01   0.549008E-02  -0.427009E+02
   136   0.392053E+04   0.110364E+01   0.557661E-02  -0.430478E+02
   137   0.395520E+04   0.110539E+01   0.566400E-02  -0.433774E+02
   138   0.398981E+04   0.110662E+01   0.575225E-02  -0.436880E+02
   139   0.402419E+04   0.110747E+01   0.584137E-02  -0.439790E+02
   140   0.405865E+04   0.110773E+01   0.593138E-02  -0.442511E+02
   141   0.409288E+04   0.110748E+01   0.602226E-02  -0.445022E+02
   142   0.412712E+04   0.110677E+01   0.611404E-02  -0.447330E+02
   143   0.416129E+04   0.110562E+01   0.620671E-02  -0.449435E+02
   144   0.419524E+04   0.110395E+01   0.630029E-02  -0.451330E+02
   145   0.422905E+04   0.110191E+01   0.639479E-02  -0.453008E+02
   146   0.426293E+04   0.109928E+01   0.649020E-02  -0.454470E+02
   147   0.429645E+04   0.109627E+01   0.658653E-02  -0.455700E+02
   148   0.432982E+04   0.109275E+01   0.668380E-02  -0.456714E+02
   149   0.436312E+04   0.108878E+01   0.678200E-02  -0.457497E+02
   150   0.439613E+04   0.108444E+01   0.688114E-02  -0.458027E+02
   151   0.442900E+04   0.107965E+01   0.698123E-02  -0.458334E+02
   152   0.446157E+04   0.107434E+01   0.708228E-02  -0.458402E+02
   153   0.449400E+04   0.106867E+01   0.718428E-02  -0.458211E+02
   154   0.452620E+04   0.106262E+01   0.728724E-02  -0.457781E+02
   155   0.455818E+04   0.105620E+01   0.739116E-02  -0.457105E+02
   156   0.458979E+04   0.104941E+01   0.749606E-02  -0.456182E+02
   157   0.462131E+04   0.104225E+01   0.760193E-02  -0.454998E+02
   158   0.465254E+04   0.103480E+01   0.770877E-02  -0.453560E+02
   159   0.468346E+04   0.102690E+01   0.781659E-02  -0.451867E+02
   160   0.471415E+04   0.101871E+01   0.792539E-02  -0.449904E+02
   161   0.474461E+04   0.101029E+01   0.803518E-02  -0.447687E+02
   162   0.477476E+04   0.100151E+01   0.814594E-02  -0.445214E+02
   163   0.480476E+04   0.992424E+00   0.825769E-02  -0.442471E+02
   164   0.483429E+04   0.983121E+00   0.837043E-02  -0.439473E+02
   165   0.486365E+04   0.973523E+00   0.848415E-02  -0.436196E+02
   166   0.489271E+04   0.963779E+00   0.859885E-02  -0.432656E+02
   167   0.492152E+04   0.953665E+00   0.871453E-02  -0.428860E+02
   168   0.494987E+04   0.943552E+00   0.883120E-02  -0.424784E+02
   169   0.497790E+04   0.933145E+00   0.894885E-02  -0.420430E+02
   170   0.500561E+04   0.922665E+00   0.906747E-02  -0.415811E+02
   171   0.503285E+04   0.912113E+00   0.918707E-02  -0.410905E+02
   172   0.505970E+04   0.901415E+00   0.930764E-02  -0.405727E+02
   173   0.508607E+04   0.890570E+00   0.942918E-02  -0.400277E+02
   174   0.511212E+04   0.879876E+00   0.955168E-02  -0.394553E+02
   175   0.513777E+04   0.869035E+00   0.967514E-02  -0.388549E+02
   176   0.516287E+04   0.858271E+00   0.979956E-02  -0.382265E+02
   177   0.518756E+04   0.847509E+00   0.992492E-02  -0.375715E+02
   178   0.521178E+04   0.836972E+00   0.100512E-01  -0.368884E+02
   179   0.523553E+04   0.826364E+00   0.101785E-01  -0.361774E+02
   180   0.525896E+04   0.815906E+00   0.103067E-01  -0.354398E+02
   181   0.528183E+04   0.805599E+00   0.104358E-01  -0.346757E+02
   182   0.530423E+04   0.795517E+00   0.105658E-01  -0.338835E+02
   183   0.532609E+04   0.785586E+00   0.106967E-01  -0.330649E+02
   184   0.534755E+04   0.775880E+00   0.108286E-01  -0.322191E+02
   185   0.536854E+04   0.766548E+00   0.109613E-01  -0.313483E+02
   186   0.538869E+04   0.757448E+00   0.110950E-01  -0.304495E+02
   187   0.540867E+04   0.748723E+00   0.112295E-01  -0.295243E+02
   188   0.542810E+04   0.740356E+00   0.113648E-01  -0.285742E+02
   189   0.544692E+04   0.732384E+00   0.115011E-01  -0.275976E+02
   190   0.546557E+04   0.724861E+00   0.116382E-01  -0.265969E+02
   191   0.548331E+04   0.717808E+00   0.117761E-01  -0.255690E+02
   192   0.550065E+04   0.711247E+00   0.119149E-01  -0.245162E+02
   193   0.551738E+04   0.705223E+00   0.120545E-01  -0.234400E+02
   194   0.553373E+04   0.699765E+00   0.121950E-01  -0.223382E+02
   195   0.554945E+04   0.694910E+00   0.123362E-01  -0.212130E+02
   196   0.556457E+04   0.690696E+00   0.124782E-01  -0.200637E+02
   197   0.557923E+04   0.687167E+00   0.126211E-01  -0.188917E+02
   198   0.559335E+04   0.684345E+00   0.127647E-01  -0.176965E+02
   199   0.560693E+04   0.682267E+00   0.129090E-01  -0.164786E+02
   200   0.561998E+04   0.680963E+00   0.130542E-01  -0.152389E+02
   201   0.563242E+04   0.680492E+00   0.132000E-01  -0.139766E+02
   202   0.564433E+04   0.680861E+00   0.133466E-01  -0.126933E+02
   203   0.565562E+04   0.682130E+00   0.134940E-01  -0.113882E+02
   204   0.566624E+04   0.684321E+00   0.136420E-01  -0.100642E+02
   205   0.567632E+04   0.687479E+00   0.137908E-01  -0.871919E+01
   206   0.568572E+04   0.691642E+00   0.139402E-01  -0.735441E+01
   207   0.569458E+04   0.696830E+00   0.140903E-01  -0.597032E+01
   208   0.570269E+04   0.703098E+00   0.142411E-01  -0.456746E+01
   209   0.571019E+04   0.710466E+00   0.143925E-01  -0.314619E+01
   210   0.571708E+04   0.718987E+00   0.145446E-01  -0.170743E+01
   211   0.572337E+04   0.728691E+00   0.146973E-01  -0.251235E+00
   212   0.572889E+04   0.739607E+00   0.148506E-01   0.122144E+01
   213   0.573389E+04   0.751779E+00   0.150046E-01   0.271063E+01
   214   0.573820E+04   0.765201E+00   0.151591E-01   0.421513E+01
   215   0.574190E+04   0.780066E+00   0.153142E-01   0.573418E+01
   216   0.574492E+04   0.796187E+00   0.154698E-01   0.726830E+01
   217   0.574741E+04   0.813721E+00   0.156260E-01   0.881546E+01
   218   0.574921E+04   0.832668E+00   0.157827E-01   0.103759E+02
   219   0.575041E+04   0.853027E+00   0.159400E-01   0.119505E+02
   220   0.575100E+04   0.874947E+00   0.160977E-01   0.135349E+02
   221   0.575098E+04   0.898354E+00   0.162559E-01   0.151313E+02
   222   0.575035E+04   0.923396E+00   0.164146E-01   0.167381E+02
   223   0.574896E+04   0.949999E+00   0.165738E-01   0.183562E+02
   224   0.574712E+04   0.978162E+00   0.167333E-01   0.199818E+02
   225   0.574460E+04   0.100803E+01   0.168933E-01   0.216178E+02
   226   0.574146E+04   0.103962E+01   0.170537E-01   0.232605E+02
   227   0.573765E+04   0.107291E+01   0.172145E-01   0.249115E+02
   228   0.573330E+04   0.110791E+01   0.173757E-01   0.265692E+02
   229   0.572834E+04   0.114469E+01   0.175372E-01   0.282321E+02
   230   0.572270E+04   0.118325E+01   0.176990E-01   0.299009E+02
   231   0.571638E+04   0.122367E+01   0.178611E-01   0.315750E+02
   232   0.570953E+04   0.126587E+01   0.180236E-01   0.332528E+02
   233   0.570207E+04   0.131008E+01   0.181863E-01   0.349328E+02
   234   0.569385E+04   0.135615E+01   0.183492E-01   0.366158E+02
   235   0.568510E+04   0.140414E+01   0.185124E-01   0.383003E+02
   236   0.567567E+04   0.145407E+01   0.186758E-01   0.399862E+02
   237   0.566562E+04   0.150599E+01   0.188393E-01   0.416721E+02
   238   0.565498E+04   0.156000E+01   0.190031E-01   0.433579E+02
   239   0.564380E+04   0.161594E+01   0.191670E-01   0.450430E+02
   240   0.563186E+04   0.167388E+01   0.193310E-01   0.467251E+02
   241   0.561946E+04   0.173397E+01   0.194951E-01   0.484049E+02
   242   0.560646E+04   0.179606E+01   0.196593E-01   0.500817E+02
   243   0.559285E+04   0.186031E+01   0.198236E-01   0.517540E+02
   244   0.557863E+04   0.192663E+01   0.199879E-01   0.534225E+02
   245   0.556381E+04   0.199510E+01   0.201522E-01   0.550842E+02
   246   0.554845E+04   0.206573E+01   0.203165E-01   0.567407E+02
   247   0.553256E+04   0.213843E+01   0.204808E-01   0.583897E+02
   248   0.551606E+04   0.221357E+01   0.206450E-01   0.600311E+02
   249   0.549911E+04   0.229065E+01   0.208092E-01   0.616643E+02
   250   0.548155E+04   0.237009E+01   0.209733E-01   0.632878E+02
   251   0.546352E+04   0.245161E+01   0.211373E-01   0.649023E+02
   252   0.544482E+04   0.253543E+01   0.213011E-01   0.665063E+02
   253   0.542581E+04   0.262132E+01   0.214648E-01   0.680983E+02
   254   0.540619E+04   0.270959E+01   0.216284E-01   0.696783E+02
   255   0.538604E+04   0.279993E+01   0.217917E-01   0.712463E+02
   256   0.536543E+04   0.289271E+01   0.219549E-01   0.728023E+02
   257   0.534437E+04   0.298749E+01   0.221178E-01   0.743380E+02
   258   0.532278E+04   0.308465E+01   0.222804E-01   0.758663E+02
   259   0.530072E+04   0.318402E+01   0.224428E-01   0.773720E+02
   260   0.527829E+04   0.328562E+01   0.226049E-01   0.788702E+02
   261   0.525533E+04   0.338936E+01   0.227667E-01   0.803386E+02
   262   0.523184E+04   0.349547E+01   0.229282E-01   0.817993E+02
   263   0.520819E+04   0.360373E+01   0.230893E-01   0.832450E+02
   264   0.518393E+04   0.371421E+01   0.232501E-01   0.846682E+02
   265   0.515915E+04   0.382683E+01   0.234105E-01   0.860615E+02
   266   0.513406E+04   0.394182E+01   0.235706E-01   0.874472E+02
   267   0.510844E+04   0.405881E+01   0.237302E-01   0.888029E+02
   268   0.508244E+04   0.417817E+01   0.238894E-01   0.901436E+02
   269   0.505592E+04   0.429960E+01   0.240482E-01   0.914618E+02
   270   0.502916E+04   0.442317E+01   0.242065E-01   0.927575E+02
   271   0.500195E+04   0.454881E+01   0.243644E-01   0.940307E+02
   272   0.497451E+04   0.467682E+01   0.245218E-01   0.952739E+02
   273   0.494661E+04   0.480660E+01   0.246787E-01   0.965021E+02
   274   0.491842E+04   0.493875E+01   0.248352E-01   0.976928E+02
   275   0.488984E+04   0.507275E+01   0.249911E-01   0.988685E+02
   276   0.486103E+04   0.520882E+01   0.251465E-01   0.100007E+03
   277   0.483178E+04   0.534695E+01   0.253013E-01   0.101130E+03
   278   0.480229E+04   0.548708E+01   0.254557E-01   0.102216E+03
