#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.102674E+04   0.266903E+01   0.303100E-02   0.266903E+01   0.321566E-01  -0.124799E-04   0.303100E-02  -0.124799E-04   0.499896E-07
     3   0.971102E+03   0.301457E+01   0.302925E-02   0.301457E+01   0.419437E-01  -0.135082E-04   0.302925E-02  -0.135082E-04   0.608353E-07
     4   0.917916E+03   0.284326E+01   0.295337E-02   0.284326E+01   0.370136E-01  -0.115751E-04   0.295337E-02  -0.115751E-04   0.700932E-07
     5   0.878228E+03   0.243335E+01   0.285053E-02   0.243335E+01   0.251624E-01  -0.804256E-05   0.285053E-02  -0.804256E-05   0.781244E-07
     6   0.851094E+03   0.196785E+01   0.274078E-02   0.196785E+01   0.142679E-01  -0.407708E-05   0.274078E-02  -0.407708E-05   0.851321E-07
     7   0.833815E+03   0.154914E+01   0.263376E-02   0.154914E+01   0.768303E-02  -0.590588E-06   0.263376E-02  -0.590588E-06   0.913005E-07
     8   0.823398E+03   0.122341E+01   0.252979E-02   0.122341E+01   0.484321E-02   0.181362E-05   0.252979E-02   0.181362E-05   0.967591E-07
     9   0.818430E+03   0.998332E+00   0.242762E-02   0.998332E+00   0.383250E-02   0.289430E-05   0.242762E-02   0.289430E-05   0.101618E-06
    10   0.817451E+03   0.867531E+00   0.232925E-02   0.867531E+00   0.327396E-02   0.279823E-05   0.232925E-02   0.279823E-05   0.105945E-06
    11   0.819065E+03   0.814293E+00   0.223917E-02   0.814293E+00   0.275498E-02   0.194645E-05   0.223917E-02   0.194645E-05   0.109834E-06
    12   0.823877E+03   0.819458E+00   0.215801E-02   0.819458E+00   0.249780E-02   0.806821E-06   0.215801E-02   0.806821E-06   0.113308E-06
    13   0.830239E+03   0.858937E+00   0.208376E-02   0.858937E+00   0.224235E-02  -0.309426E-06   0.208376E-02  -0.309426E-06   0.116413E-06
    14   0.837257E+03   0.909786E+00   0.201402E-02   0.909786E+00   0.226543E-02  -0.115358E-05   0.201402E-02  -0.115358E-05   0.119202E-06
    15   0.845326E+03   0.965978E+00   0.194635E-02   0.965978E+00   0.246620E-02  -0.156017E-05   0.194635E-02  -0.156017E-05   0.121705E-06
    16   0.854956E+03   0.102626E+01   0.187915E-02   0.102626E+01   0.267256E-02  -0.144618E-05   0.187915E-02  -0.144618E-05   0.123948E-06
    17   0.866141E+03   0.108836E+01   0.181421E-02   0.108836E+01   0.302535E-02  -0.975172E-06   0.181421E-02  -0.975172E-06   0.125960E-06
    18   0.877983E+03   0.115170E+01   0.175359E-02   0.115170E+01   0.352778E-02  -0.379257E-06   0.175359E-02  -0.379257E-06   0.127765E-06
    19   0.891322E+03   0.121679E+01   0.169713E-02   0.121679E+01   0.416786E-02   0.818009E-07   0.169713E-02   0.818009E-07   0.129376E-06
    20   0.904485E+03   0.128206E+01   0.164411E-02   0.128206E+01   0.497724E-02   0.212267E-06   0.164411E-02   0.212267E-06   0.130801E-06
    21   0.917841E+03   0.135089E+01   0.159397E-02   0.135089E+01   0.591015E-02   0.100177E-06   0.159397E-02   0.100177E-06   0.132063E-06
    22   0.931691E+03   0.142517E+01   0.154624E-02   0.142517E+01   0.698741E-02  -0.111819E-06   0.154624E-02  -0.111819E-06   0.133182E-06
    23   0.945864E+03   0.150103E+01   0.150081E-02   0.150103E+01   0.821427E-02  -0.346400E-06   0.150081E-02  -0.346400E-06   0.134168E-06
    24   0.960435E+03   0.157374E+01   0.145763E-02   0.157374E+01   0.956319E-02  -0.554427E-06   0.145763E-02  -0.554427E-06   0.135027E-06
    25   0.975357E+03   0.164073E+01   0.141656E-02   0.164073E+01   0.110622E-01  -0.734184E-06   0.141656E-02  -0.734184E-06   0.135770E-06
    26   0.990455E+03   0.170156E+01   0.137739E-02   0.170156E+01   0.127100E-01  -0.879393E-06   0.137739E-02  -0.879393E-06   0.136408E-06
    27   0.100597E+04   0.175460E+01   0.133974E-02   0.175460E+01   0.144970E-01  -0.918101E-06   0.133974E-02  -0.918101E-06   0.136952E-06
    28   0.102175E+04   0.179944E+01   0.130334E-02   0.179944E+01   0.164409E-01  -0.789822E-06   0.130334E-02  -0.789822E-06   0.137408E-06
    29   0.103785E+04   0.183639E+01   0.126841E-02   0.183639E+01   0.185634E-01  -0.545596E-06   0.126841E-02  -0.545596E-06   0.137775E-06
    30   0.105416E+04   0.186508E+01   0.123523E-02   0.186508E+01   0.208921E-01  -0.273361E-06   0.123523E-02  -0.273361E-06   0.138056E-06
    31   0.107055E+04   0.188802E+01   0.120368E-02   0.188802E+01   0.234348E-01  -0.971165E-07   0.120368E-02  -0.971165E-07   0.138260E-06
    32   0.108728E+04   0.190710E+01   0.117356E-02   0.190710E+01   0.261821E-01  -0.115169E-06   0.117356E-02  -0.115169E-06   0.138401E-06
    33   0.110436E+04   0.191911E+01   0.114468E-02   0.191911E+01   0.291223E-01  -0.287006E-06   0.114468E-02  -0.287006E-06   0.138481E-06
    34   0.112161E+04   0.192132E+01   0.111688E-02   0.192132E+01   0.322597E-01  -0.528743E-06   0.111688E-02  -0.528743E-06   0.138503E-06
    35   0.113901E+04   0.191488E+01   0.108993E-02   0.191488E+01   0.356177E-01  -0.721817E-06   0.108993E-02  -0.721817E-06   0.138472E-06
    36   0.115647E+04   0.190040E+01   0.106373E-02   0.190040E+01   0.392253E-01  -0.767956E-06   0.106373E-02  -0.767956E-06   0.138391E-06
    37   0.117401E+04   0.187625E+01   0.103867E-02   0.187625E+01   0.430845E-01  -0.684726E-06   0.103867E-02  -0.684726E-06   0.138263E-06
    38   0.119195E+04   0.184241E+01   0.101509E-02   0.184241E+01   0.471945E-01  -0.520952E-06   0.101509E-02  -0.520952E-06   0.138093E-06
    39   0.121029E+04   0.179861E+01   0.992767E-03   0.179861E+01   0.515439E-01  -0.334654E-06   0.992767E-03  -0.334654E-06   0.137883E-06
    40   0.122874E+04   0.174430E+01   0.971309E-03   0.174430E+01   0.561243E-01  -0.186151E-06   0.971309E-03  -0.186151E-06   0.137634E-06
    41   0.124742E+04   0.167873E+01   0.950401E-03   0.167873E+01   0.609362E-01  -0.121125E-06   0.950401E-03  -0.121125E-06   0.137348E-06
    42   0.126610E+04   0.160122E+01   0.930001E-03   0.160122E+01   0.659965E-01  -0.126702E-06   0.930001E-03  -0.126702E-06   0.137028E-06
    43   0.128492E+04   0.151109E+01   0.910142E-03   0.151109E+01   0.713260E-01  -0.175372E-06   0.910142E-03  -0.175372E-06   0.136676E-06
    44   0.130373E+04   0.140858E+01   0.890852E-03   0.140858E+01   0.769306E-01  -0.239624E-06   0.890852E-03  -0.239624E-06   0.136295E-06
    45   0.132289E+04   0.129398E+01   0.872162E-03   0.129398E+01   0.828268E-01  -0.291946E-06   0.872162E-03  -0.291946E-06   0.135887E-06
    46   0.134233E+04   0.116570E+01   0.854089E-03   0.116570E+01   0.890284E-01  -0.312763E-06   0.854089E-03  -0.312763E-06   0.135455E-06
    47   0.136191E+04   0.102451E+01   0.836606E-03   0.102451E+01   0.955267E-01  -0.314230E-06   0.836606E-03  -0.314230E-06   0.134999E-06
    48   0.138155E+04   0.874394E+00   0.819671E-03   0.874394E+00   0.102314E+00  -0.316439E-06   0.819671E-03  -0.316439E-06   0.134522E-06
    49   0.140135E+04   0.718750E+00   0.803244E-03   0.718750E+00   0.109362E+00  -0.339481E-06   0.803244E-03  -0.339481E-06   0.134026E-06
    50   0.142153E+04   0.554198E+00   0.787284E-03   0.554198E+00   0.116632E+00  -0.403447E-06   0.787284E-03  -0.403447E-06   0.133512E-06
    51   0.144187E+04   0.375987E+00   0.771763E-03   0.375987E+00   0.124088E+00  -0.519725E-06   0.771763E-03  -0.519725E-06   0.132981E-06
    52   0.146260E+04   0.179534E+00   0.756700E-03   0.179534E+00   0.131819E+00  -0.664894E-06   0.756700E-03  -0.664894E-06   0.132435E-06
    53   0.148334E+04  -0.378540E-01   0.742126E-03  -0.378540E-01   0.139979E+00  -0.806830E-06   0.742126E-03  -0.806830E-06   0.131875E-06
    54   0.150400E+04  -0.270903E+00   0.728073E-03  -0.270903E+00   0.148570E+00  -0.913410E-06   0.728073E-03  -0.913410E-06   0.131301E-06
    55   0.152479E+04  -0.514221E+00   0.714572E-03  -0.514221E+00   0.157576E+00  -0.952510E-06   0.714572E-03  -0.952510E-06   0.130715E-06
    56   0.154594E+04  -0.768760E+00   0.701639E-03  -0.768760E+00   0.166858E+00  -0.902845E-06   0.701639E-03  -0.902845E-06   0.130117E-06
    57   0.156737E+04  -0.103453E+01   0.689222E-03  -0.103453E+01   0.176306E+00  -0.786494E-06   0.689222E-03  -0.786494E-06   0.129509E-06
    58   0.158910E+04  -0.131254E+01   0.677258E-03  -0.131254E+01   0.185923E+00  -0.636372E-06   0.677258E-03  -0.636372E-06   0.128891E-06
    59   0.161099E+04  -0.160382E+01   0.665680E-03  -0.160382E+01   0.195741E+00  -0.485398E-06   0.665680E-03  -0.485398E-06   0.128263E-06
    60   0.163304E+04  -0.190798E+01   0.654423E-03  -0.190798E+01   0.205810E+00  -0.366487E-06   0.654423E-03  -0.366487E-06   0.127626E-06
    61   0.165557E+04  -0.222439E+01   0.643428E-03  -0.222439E+01   0.216218E+00  -0.305645E-06   0.643428E-03  -0.305645E-06   0.126981E-06
    62   0.167797E+04  -0.255402E+01   0.632663E-03  -0.255402E+01   0.226953E+00  -0.301227E-06   0.632663E-03  -0.301227E-06   0.126328E-06
    63   0.170048E+04  -0.289785E+01   0.622107E-03  -0.289785E+01   0.237979E+00  -0.344674E-06   0.622107E-03  -0.344674E-06   0.125668E-06
    64   0.172339E+04  -0.325708E+01   0.611733E-03  -0.325708E+01   0.249310E+00  -0.427430E-06   0.611733E-03  -0.427430E-06   0.125003E-06
    65   0.174633E+04  -0.363230E+01   0.601520E-03  -0.363230E+01   0.260924E+00  -0.540936E-06   0.601520E-03  -0.540936E-06   0.124334E-06
    66   0.176961E+04  -0.402168E+01   0.591454E-03  -0.402168E+01   0.272757E+00  -0.675251E-06   0.591454E-03  -0.675251E-06   0.123661E-06
    67   0.179304E+04  -0.442256E+01   0.581575E-03  -0.442256E+01   0.284809E+00  -0.814900E-06   0.581575E-03  -0.814900E-06   0.122985E-06
    68   0.181689E+04  -0.483342E+01   0.571932E-03  -0.483342E+01   0.297119E+00  -0.943022E-06   0.571932E-03  -0.943022E-06   0.122307E-06
    69   0.184093E+04  -0.525264E+01   0.562576E-03  -0.525264E+01   0.309647E+00  -0.104276E-05   0.562576E-03  -0.104276E-05   0.121626E-06
    70   0.186527E+04  -0.568204E+01   0.553556E-03  -0.568204E+01   0.322432E+00  -0.109725E-05   0.553556E-03  -0.109725E-05   0.120944E-06
    71   0.188975E+04  -0.612410E+01   0.544907E-03  -0.612410E+01   0.335463E+00  -0.109495E-05   0.544907E-03  -0.109495E-05   0.120260E-06
    72   0.191441E+04  -0.658001E+01   0.536606E-03  -0.658001E+01   0.348711E+00  -0.104559E-05   0.536606E-03  -0.104559E-05   0.119576E-06
    73   0.193921E+04  -0.705018E+01   0.528614E-03  -0.705018E+01   0.362143E+00  -0.964182E-06   0.528614E-03  -0.964182E-06   0.118890E-06
    74   0.196422E+04  -0.753350E+01   0.520891E-03  -0.753350E+01   0.375747E+00  -0.865772E-06   0.520891E-03  -0.865772E-06   0.118203E-06
    75   0.198956E+04  -0.802829E+01   0.513399E-03  -0.802829E+01   0.389533E+00  -0.765392E-06   0.513399E-03  -0.765392E-06   0.117515E-06
    76   0.201517E+04  -0.853373E+01   0.506101E-03  -0.853373E+01   0.403502E+00  -0.676256E-06   0.506101E-03  -0.676256E-06   0.116826E-06
    77   0.204113E+04  -0.904962E+01   0.498971E-03  -0.904962E+01   0.417644E+00  -0.604311E-06   0.498971E-03  -0.604311E-06   0.116136E-06
    78   0.206745E+04  -0.957739E+01   0.491986E-03  -0.957739E+01   0.431985E+00  -0.553684E-06   0.491986E-03  -0.553684E-06   0.115446E-06
    79   0.209395E+04  -0.101133E+02   0.485123E-03  -0.101133E+02   0.446468E+00  -0.528504E-06   0.485123E-03  -0.528504E-06   0.114756E-06
    80   0.212074E+04  -0.106586E+02   0.478359E-03  -0.106586E+02   0.461098E+00  -0.532899E-06   0.478359E-03  -0.532899E-06   0.114067E-06
    81   0.214772E+04  -0.112141E+02   0.471676E-03  -0.112141E+02   0.475823E+00  -0.568834E-06   0.471676E-03  -0.568834E-06   0.113378E-06
    82   0.217496E+04  -0.117787E+02   0.465084E-03  -0.117787E+02   0.490665E+00  -0.629621E-06   0.465084E-03  -0.629621E-06   0.112691E-06
    83   0.220238E+04  -0.123523E+02   0.458598E-03  -0.123523E+02   0.505600E+00  -0.706411E-06   0.458598E-03  -0.706411E-06   0.112006E-06
    84   0.223007E+04  -0.129331E+02   0.452233E-03  -0.129331E+02   0.520624E+00  -0.790355E-06   0.452233E-03  -0.790355E-06   0.111322E-06
    85   0.225788E+04  -0.135223E+02   0.446005E-03  -0.135223E+02   0.535713E+00  -0.872603E-06   0.446005E-03  -0.872603E-06   0.110640E-06
    86   0.228591E+04  -0.141190E+02   0.439926E-03  -0.141190E+02   0.550880E+00  -0.945837E-06   0.439926E-03  -0.945837E-06   0.109961E-06
    87   0.231436E+04  -0.147223E+02   0.433995E-03  -0.147223E+02   0.566093E+00  -0.100886E-05   0.433995E-03  -0.100886E-05   0.109284E-06
    88   0.234280E+04  -0.153322E+02   0.428208E-03  -0.153322E+02   0.581367E+00  -0.106202E-05   0.428208E-03  -0.106202E-05   0.108609E-06
    89   0.237161E+04  -0.159502E+02   0.422562E-03  -0.159502E+02   0.596687E+00  -0.110565E-05   0.422562E-03  -0.110565E-05   0.107938E-06
    90   0.240063E+04  -0.165730E+02   0.417052E-03  -0.165730E+02   0.612016E+00  -0.114009E-05   0.417052E-03  -0.114009E-05   0.107269E-06
    91   0.242979E+04  -0.172016E+02   0.411675E-03  -0.172016E+02   0.627345E+00  -0.116573E-05   0.411675E-03  -0.116573E-05   0.106603E-06
    92   0.245924E+04  -0.178351E+02   0.406425E-03  -0.178351E+02   0.642660E+00  -0.118320E-05   0.406425E-03  -0.118320E-05   0.105940E-06
    93   0.248899E+04  -0.184736E+02   0.401300E-03  -0.184736E+02   0.657954E+00  -0.119318E-05   0.401300E-03  -0.119318E-05   0.105280E-06
    94   0.251881E+04  -0.191156E+02   0.396294E-03  -0.191156E+02   0.673189E+00  -0.119635E-05   0.396294E-03  -0.119635E-05   0.104624E-06
    95   0.254893E+04  -0.197619E+02   0.391404E-03  -0.197619E+02   0.688366E+00  -0.119338E-05   0.391404E-03  -0.119338E-05   0.103970E-06
    96   0.257904E+04  -0.204118E+02   0.386625E-03  -0.204118E+02   0.703470E+00  -0.118495E-05   0.386625E-03  -0.118495E-05   0.103320E-06
    97   0.260960E+04  -0.210646E+02   0.381954E-03  -0.210646E+02   0.718486E+00  -0.117176E-05   0.381954E-03  -0.117176E-05   0.102673E-06
    98   0.264038E+04  -0.217180E+02   0.377385E-03  -0.217180E+02   0.733407E+00  -0.115447E-05   0.377385E-03  -0.115447E-05   0.102030E-06
    99   0.267123E+04  -0.223751E+02   0.372916E-03  -0.223751E+02   0.748195E+00  -0.113376E-05   0.372916E-03  -0.113376E-05   0.101390E-06
   100   0.270239E+04  -0.230314E+02   0.368541E-03  -0.230314E+02   0.762852E+00  -0.111032E-05   0.368541E-03  -0.111032E-05   0.100754E-06
   101   0.273370E+04  -0.236900E+02   0.364256E-03  -0.236900E+02   0.777436E+00  -0.108482E-05   0.364256E-03  -0.108482E-05   0.100121E-06
   102   0.276553E+04  -0.243487E+02   0.360058E-03  -0.243487E+02   0.791799E+00  -0.105794E-05   0.360058E-03  -0.105794E-05   0.994916E-07
   103   0.279729E+04  -0.250082E+02   0.355942E-03  -0.250082E+02   0.806016E+00  -0.103037E-05   0.355942E-03  -0.103037E-05   0.988661E-07
   104   0.282928E+04  -0.256655E+02   0.351903E-03  -0.256655E+02   0.820086E+00  -0.100278E-05   0.351903E-03  -0.100278E-05   0.982443E-07
   105   0.286143E+04  -0.263223E+02   0.347939E-03  -0.263223E+02   0.833935E+00  -0.975854E-06   0.347939E-03  -0.975854E-06   0.976263E-07
   106   0.289380E+04  -0.269778E+02   0.344043E-03  -0.269778E+02   0.847639E+00  -0.950268E-06   0.344043E-03  -0.950268E-06   0.970121E-07
   107   0.292611E+04  -0.276304E+02   0.340213E-03  -0.276304E+02   0.861048E+00  -0.926704E-06   0.340213E-03  -0.926704E-06   0.964019E-07
   108   0.295880E+04  -0.282811E+02   0.336444E-03  -0.282811E+02   0.874236E+00  -0.905841E-06   0.336444E-03  -0.905841E-06   0.957956E-07
   109   0.299164E+04  -0.289284E+02   0.332732E-03  -0.289284E+02   0.887131E+00  -0.888359E-06   0.332732E-03  -0.888359E-06   0.951934E-07
   110   0.302457E+04  -0.295707E+02   0.329072E-03  -0.295707E+02   0.899731E+00  -0.874936E-06   0.329072E-03  -0.874936E-06   0.945952E-07
   111   0.305766E+04  -0.302097E+02   0.325462E-03  -0.302097E+02   0.912111E+00  -0.866083E-06   0.325462E-03  -0.866083E-06   0.940012E-07
   112   0.309091E+04  -0.308445E+02   0.321900E-03  -0.308445E+02   0.924196E+00  -0.861627E-06   0.321900E-03  -0.861627E-06   0.934114E-07
   113   0.312440E+04  -0.314735E+02   0.318387E-03  -0.314735E+02   0.935987E+00  -0.861225E-06   0.318387E-03  -0.861225E-06   0.928256E-07
   114   0.315796E+04  -0.320962E+02   0.314922E-03  -0.320962E+02   0.947409E+00  -0.864535E-06   0.314922E-03  -0.864535E-06   0.922441E-07
   115   0.319176E+04  -0.327122E+02   0.311506E-03  -0.327122E+02   0.958610E+00  -0.871213E-06   0.311506E-03  -0.871213E-06   0.916666E-07
   116   0.322557E+04  -0.333210E+02   0.308138E-03  -0.333210E+02   0.969366E+00  -0.880918E-06   0.308138E-03  -0.880918E-06   0.910933E-07
   117   0.325969E+04  -0.339217E+02   0.304819E-03  -0.339217E+02   0.979752E+00  -0.893307E-06   0.304819E-03  -0.893307E-06   0.905242E-07
   118   0.329396E+04  -0.345151E+02   0.301548E-03  -0.345151E+02   0.989917E+00  -0.908036E-06   0.301548E-03  -0.908036E-06   0.899592E-07
   119   0.332824E+04  -0.350988E+02   0.298326E-03  -0.350988E+02   0.999710E+00  -0.924764E-06   0.298326E-03  -0.924764E-06   0.893983E-07
   120   0.336267E+04  -0.356728E+02   0.295153E-03  -0.356728E+02   0.100898E+01  -0.943147E-06   0.295153E-03  -0.943147E-06   0.888416E-07
   121   0.339711E+04  -0.362370E+02   0.292028E-03  -0.362370E+02   0.101803E+01  -0.962842E-06   0.292028E-03  -0.962842E-06   0.882890E-07
   122   0.343163E+04  -0.367908E+02   0.288951E-03  -0.367908E+02   0.102657E+01  -0.983508E-06   0.288951E-03  -0.983508E-06   0.877405E-07
   123   0.346624E+04  -0.373340E+02   0.285923E-03  -0.373340E+02   0.103465E+01  -0.100480E-05   0.285923E-03  -0.100480E-05   0.871961E-07
   124   0.350092E+04  -0.378636E+02   0.282944E-03  -0.378636E+02   0.104236E+01  -0.102638E-05   0.282944E-03  -0.102638E-05   0.866559E-07
   125   0.353560E+04  -0.383819E+02   0.280014E-03  -0.383819E+02   0.104963E+01  -0.104790E-05   0.280014E-03  -0.104790E-05   0.861198E-07
   126   0.357037E+04  -0.388880E+02   0.277132E-03  -0.388880E+02   0.105652E+01  -0.106902E-05   0.277132E-03  -0.106902E-05   0.855878E-07
   127   0.360514E+04  -0.393812E+02   0.274298E-03  -0.393812E+02   0.106289E+01  -0.108940E-05   0.274298E-03  -0.108940E-05   0.850600E-07
   128   0.363991E+04  -0.398607E+02   0.271514E-03  -0.398607E+02   0.106889E+01  -0.110869E-05   0.271514E-03  -0.110869E-05   0.845363E-07
   129   0.367476E+04  -0.403256E+02   0.268778E-03  -0.403256E+02   0.107436E+01  -0.112655E-05   0.268778E-03  -0.112655E-05   0.840167E-07
   130   0.370962E+04  -0.407753E+02   0.266090E-03  -0.407753E+02   0.107931E+01  -0.114264E-05   0.266090E-03  -0.114264E-05   0.835012E-07
   131   0.374448E+04  -0.412111E+02   0.263451E-03  -0.412111E+02   0.108389E+01  -0.115668E-05   0.263451E-03  -0.115668E-05   0.829898E-07
   132   0.377941E+04  -0.416302E+02   0.260860E-03  -0.416302E+02   0.108794E+01  -0.116869E-05   0.260860E-03  -0.116869E-05   0.824825E-07
   133   0.381427E+04  -0.420347E+02   0.258314E-03  -0.420347E+02   0.109155E+01  -0.117874E-05   0.258314E-03  -0.117874E-05   0.819793E-07
   134   0.384914E+04  -0.424202E+02   0.255813E-03  -0.424202E+02   0.109471E+01  -0.118690E-05   0.255813E-03  -0.118690E-05   0.814801E-07
   135   0.388400E+04  -0.427898E+02   0.253356E-03  -0.427898E+02   0.109734E+01  -0.119326E-05   0.253356E-03  -0.119326E-05   0.809850E-07
   136   0.391873E+04  -0.431397E+02   0.250940E-03  -0.431397E+02   0.109945E+01  -0.119789E-05   0.250940E-03  -0.119789E-05   0.804938E-07
   137   0.395346E+04  -0.434722E+02   0.248564E-03  -0.434722E+02   0.110111E+01  -0.120086E-05   0.248564E-03  -0.120086E-05   0.800065E-07
   138   0.398811E+04  -0.437858E+02   0.246228E-03  -0.437858E+02   0.110225E+01  -0.120225E-05   0.246228E-03  -0.120225E-05   0.795232E-07
   139   0.402255E+04  -0.440798E+02   0.243930E-03  -0.440798E+02   0.110301E+01  -0.120215E-05   0.243930E-03  -0.120215E-05   0.790438E-07
   140   0.405707E+04  -0.443549E+02   0.241668E-03  -0.443549E+02   0.110317E+01  -0.120062E-05   0.241668E-03  -0.120062E-05   0.785682E-07
   141   0.409137E+04  -0.446090E+02   0.239441E-03  -0.446090E+02   0.110282E+01  -0.119774E-05   0.239441E-03  -0.119774E-05   0.780965E-07
   142   0.412568E+04  -0.448428E+02   0.237248E-03  -0.448428E+02   0.110201E+01  -0.119360E-05   0.237248E-03  -0.119360E-05   0.776286E-07
   143   0.415991E+04  -0.450564E+02   0.235087E-03  -0.450564E+02   0.110075E+01  -0.118826E-05   0.235087E-03  -0.118826E-05   0.771645E-07
   144   0.419393E+04  -0.452490E+02   0.232957E-03  -0.452490E+02   0.109897E+01  -0.118180E-05   0.232957E-03  -0.118180E-05   0.767042E-07
   145   0.422781E+04  -0.454199E+02   0.230857E-03  -0.454199E+02   0.109681E+01  -0.117430E-05   0.230857E-03  -0.117430E-05   0.762475E-07
   146   0.426176E+04  -0.455691E+02   0.228784E-03  -0.455691E+02   0.109406E+01  -0.116584E-05   0.228784E-03  -0.116584E-05   0.757946E-07
   147   0.429535E+04  -0.456952E+02   0.226739E-03  -0.456952E+02   0.109093E+01  -0.115649E-05   0.226739E-03  -0.115649E-05   0.753454E-07
   148   0.432880E+04  -0.457997E+02   0.224720E-03  -0.457997E+02   0.108728E+01  -0.114633E-05   0.224720E-03  -0.114633E-05   0.748998E-07
   149   0.436219E+04  -0.458811E+02   0.222724E-03  -0.458811E+02   0.108317E+01  -0.113544E-05   0.222724E-03  -0.113544E-05   0.744579E-07
   150   0.439528E+04  -0.459371E+02   0.220752E-03  -0.459371E+02   0.107869E+01  -0.112389E-05   0.220752E-03  -0.112389E-05   0.740195E-07
   151   0.442823E+04  -0.459709E+02   0.218801E-03  -0.459709E+02   0.107376E+01  -0.111176E-05   0.218801E-03  -0.111176E-05   0.735847E-07
   152   0.446089E+04  -0.459808E+02   0.216871E-03  -0.459808E+02   0.106831E+01  -0.109907E-05   0.216871E-03  -0.109907E-05   0.731535E-07
   153   0.449340E+04  -0.459647E+02   0.214962E-03  -0.459647E+02   0.106248E+01  -0.108588E-05   0.214962E-03  -0.108588E-05   0.727257E-07
   154   0.452570E+04  -0.459247E+02   0.213075E-03  -0.459247E+02   0.105628E+01  -0.107221E-05   0.213075E-03  -0.107221E-05   0.723015E-07
   155   0.455777E+04  -0.458601E+02   0.211208E-03  -0.458601E+02   0.104970E+01  -0.105809E-05   0.211208E-03  -0.105809E-05   0.718808E-07
   156   0.458947E+04  -0.457708E+02   0.209361E-03  -0.457708E+02   0.104274E+01  -0.104356E-05   0.209361E-03  -0.104356E-05   0.714635E-07
   157   0.462110E+04  -0.456553E+02   0.207535E-03  -0.456553E+02   0.103541E+01  -0.102866E-05   0.207535E-03  -0.102866E-05   0.710496E-07
   158   0.465243E+04  -0.455144E+02   0.205729E-03  -0.455144E+02   0.102778E+01  -0.101341E-05   0.205729E-03  -0.101341E-05   0.706391E-07
   159   0.468345E+04  -0.453479E+02   0.203943E-03  -0.453479E+02   0.101970E+01  -0.997853E-06   0.203943E-03  -0.997853E-06   0.702320E-07
   160   0.471425E+04  -0.451545E+02   0.202177E-03  -0.451545E+02   0.101131E+01  -0.982021E-06   0.202177E-03  -0.982021E-06   0.698283E-07
   161   0.474482E+04  -0.449356E+02   0.200430E-03  -0.449356E+02   0.100270E+01  -0.965948E-06   0.200430E-03  -0.965948E-06   0.694279E-07
   162   0.477508E+04  -0.446910E+02   0.198703E-03  -0.446910E+02   0.993718E+00  -0.949667E-06   0.198703E-03  -0.949667E-06   0.690309E-07
   163   0.480518E+04  -0.444194E+02   0.196995E-03  -0.444194E+02   0.984430E+00  -0.933213E-06   0.196995E-03  -0.933213E-06   0.686371E-07
   164   0.483483E+04  -0.441222E+02   0.195306E-03  -0.441222E+02   0.974916E+00  -0.916619E-06   0.195306E-03  -0.916619E-06   0.682466E-07
   165   0.486431E+04  -0.437970E+02   0.193635E-03  -0.437970E+02   0.965100E+00  -0.899920E-06   0.193635E-03  -0.899920E-06   0.678593E-07
   166   0.489349E+04  -0.434455E+02   0.191984E-03  -0.434455E+02   0.955130E+00  -0.883149E-06   0.191984E-03  -0.883149E-06   0.674753E-07
   167   0.492242E+04  -0.430683E+02   0.190351E-03  -0.430683E+02   0.944786E+00  -0.866340E-06   0.190351E-03  -0.866340E-06   0.670944E-07
   168   0.495089E+04  -0.426631E+02   0.188736E-03  -0.426631E+02   0.934437E+00  -0.849526E-06   0.188736E-03  -0.849526E-06   0.667167E-07
   169   0.497905E+04  -0.422299E+02   0.187139E-03  -0.422299E+02   0.923786E+00  -0.832743E-06   0.187139E-03  -0.832743E-06   0.663422E-07
   170   0.500689E+04  -0.417702E+02   0.185561E-03  -0.417702E+02   0.913057E+00  -0.816023E-06   0.185561E-03  -0.816023E-06   0.659708E-07
   171   0.503426E+04  -0.412818E+02   0.184000E-03  -0.412818E+02   0.902250E+00  -0.799401E-06   0.184000E-03  -0.799401E-06   0.656025E-07
   172   0.506124E+04  -0.407660E+02   0.182456E-03  -0.407660E+02   0.891289E+00  -0.782910E-06   0.182456E-03  -0.782910E-06   0.652373E-07
   173   0.508774E+04  -0.402228E+02   0.180930E-03  -0.402228E+02   0.880176E+00  -0.766585E-06   0.180930E-03  -0.766585E-06   0.648752E-07
   174   0.511392E+04  -0.396523E+02   0.179421E-03  -0.396523E+02   0.869206E+00  -0.750458E-06   0.179421E-03  -0.750458E-06   0.645161E-07
   175   0.513971E+04  -0.390536E+02   0.177929E-03  -0.390536E+02   0.858084E+00  -0.734565E-06   0.177929E-03  -0.734565E-06   0.641600E-07
   176   0.516495E+04  -0.384268E+02   0.176454E-03  -0.384268E+02   0.847032E+00  -0.718931E-06   0.176454E-03  -0.718931E-06   0.638069E-07
   177   0.518978E+04  -0.377733E+02   0.174995E-03  -0.377733E+02   0.835975E+00  -0.703551E-06   0.174995E-03  -0.703551E-06   0.634567E-07
   178   0.521415E+04  -0.370917E+02   0.173553E-03  -0.370917E+02   0.825137E+00  -0.688409E-06   0.173553E-03  -0.688409E-06   0.631095E-07
   179   0.523804E+04  -0.363819E+02   0.172126E-03  -0.363819E+02   0.814221E+00  -0.673494E-06   0.172126E-03  -0.673494E-06   0.627652E-07
