#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.277789E+00   0.785872E+05   0.755058E+05   0.761468E+00   0.761414E+00   0.166111E+03   0.777474E+05   0.780999E+05   0.777474E+05  -0.203245E-01   0.776905E+05   0.775750E+05   0.257003E+00
   0.283147E+00   0.761803E+05   0.730857E+05   0.710300E+00   0.710250E+00   0.155146E+03   0.753493E+05   0.756909E+05   0.753493E+05  -0.196976E-01   0.752950E+05   0.751770E+05   0.257740E+00
   0.288504E+00   0.739282E+05   0.708490E+05   0.663819E+00   0.663772E+00   0.145144E+03   0.731097E+05   0.734412E+05   0.731097E+05  -0.191121E-01   0.730577E+05   0.729392E+05   0.254042E+00
   0.293861E+00   0.718710E+05   0.688470E+05   0.621986E+00   0.621941E+00   0.136140E+03   0.710704E+05   0.713927E+05   0.710704E+05  -0.185790E-01   0.710201E+05   0.709037E+05   0.245045E+00
   0.299218E+00   0.700147E+05   0.670845E+05   0.584442E+00   0.584401E+00   0.128072E+03   0.692373E+05   0.695512E+05   0.692373E+05  -0.180998E-01   0.691880E+05   0.690760E+05   0.231489E+00
   0.304575E+00   0.683290E+05   0.655201E+05   0.550557E+00   0.550517E+00   0.120798E+03   0.675783E+05   0.678848E+05   0.675783E+05  -0.176661E-01   0.675297E+05   0.674237E+05   0.215224E+00
   0.309933E+00   0.667639E+05   0.640868E+05   0.519603E+00   0.519566E+00   0.114116E+03   0.660410E+05   0.663405E+05   0.660410E+05  -0.172642E-01   0.659929E+05   0.658934E+05   0.198535E+00
   0.315290E+00   0.652690E+05   0.627169E+05   0.490940E+00   0.490905E+00   0.107885E+03   0.645725E+05   0.648654E+05   0.645725E+05  -0.168804E-01   0.645249E+05   0.644314E+05   0.183496E+00
   0.320647E+00   0.638038E+05   0.613564E+05   0.464077E+00   0.464044E+00   0.102066E+03   0.631304E+05   0.634167E+05   0.631304E+05  -0.165034E-01   0.630835E+05   0.629946E+05   0.171499E+00
   0.326004E+00   0.623398E+05   0.599698E+05   0.438674E+00   0.438643E+00   0.965919E+02   0.616851E+05   0.619649E+05   0.616851E+05  -0.161256E-01   0.616392E+05   0.615532E+05   0.163049E+00
   0.331362E+00   0.608642E+05   0.585444E+05   0.414546E+00   0.414516E+00   0.913676E+02   0.602241E+05   0.604973E+05   0.602241E+05  -0.157436E-01   0.601793E+05   0.600948E+05   0.157803E+00
   0.336719E+00   0.593839E+05   0.570933E+05   0.391663E+00   0.391635E+00   0.863695E+02   0.587550E+05   0.590216E+05   0.587550E+05  -0.153596E-01   0.587116E+05   0.586273E+05   0.154804E+00
   0.342076E+00   0.579218E+05   0.556492E+05   0.370104E+00   0.370078E+00   0.816638E+02   0.573024E+05   0.575624E+05   0.573024E+05  -0.149798E-01   0.572604E+05   0.571759E+05   0.152826E+00
   0.347433E+00   0.565060E+05   0.542505E+05   0.349966E+00   0.349942E+00   0.772973E+02   0.558957E+05   0.561493E+05   0.558957E+05  -0.146121E-01   0.558551E+05   0.557704E+05   0.150709E+00
   0.352791E+00   0.551581E+05   0.529273E+05   0.331291E+00   0.331268E+00   0.732365E+02   0.545578E+05   0.548053E+05   0.545578E+05  -0.142623E-01   0.545184E+05   0.544342E+05   0.147621E+00
   0.358148E+00   0.538890E+05   0.516952E+05   0.314043E+00   0.314021E+00   0.694561E+02   0.533002E+05   0.535420E+05   0.533002E+05  -0.139336E-01   0.532619E+05   0.531789E+05   0.143192E+00
   0.363505E+00   0.527003E+05   0.505563E+05   0.298132E+00   0.298111E+00   0.659698E+02   0.521247E+05   0.523612E+05   0.521247E+05  -0.136263E-01   0.520872E+05   0.520063E+05   0.137506E+00
   0.368862E+00   0.515862E+05   0.495021E+05   0.283429E+00   0.283408E+00   0.627615E+02   0.510250E+05   0.512566E+05   0.510250E+05  -0.133388E-01   0.509882E+05   0.509100E+05   0.130993E+00
   0.374219E+00   0.505341E+05   0.485145E+05   0.269776E+00   0.269757E+00   0.597784E+02   0.499879E+05   0.502147E+05   0.499879E+05  -0.130677E-01   0.499515E+05   0.498763E+05   0.124253E+00
   0.379577E+00   0.495261E+05   0.475698E+05   0.257006E+00   0.256987E+00   0.569816E+02   0.489944E+05   0.492167E+05   0.489944E+05  -0.128080E-01   0.489585E+05   0.488862E+05   0.117883E+00
   0.384934E+00   0.485442E+05   0.466450E+05   0.244964E+00   0.244946E+00   0.543365E+02   0.480259E+05   0.482438E+05   0.480259E+05  -0.125548E-01   0.479906E+05   0.479207E+05   0.112331E+00
   0.390291E+00   0.475760E+05   0.457248E+05   0.233541E+00   0.233524E+00   0.518236E+02   0.470696E+05   0.472832E+05   0.470696E+05  -0.123048E-01   0.470350E+05   0.469669E+05   0.107811E+00
   0.395648E+00   0.466170E+05   0.448038E+05   0.222679E+00   0.222663E+00   0.494466E+02   0.461209E+05   0.463302E+05   0.461209E+05  -0.120568E-01   0.460870E+05   0.460202E+05   0.104298E+00
   0.401006E+00   0.456686E+05   0.438852E+05   0.212353E+00   0.212338E+00   0.471845E+02   0.451815E+05   0.453865E+05   0.451815E+05  -0.118112E-01   0.451483E+05   0.450825E+05   0.101576E+00
   0.406363E+00   0.447360E+05   0.429769E+05   0.202558E+00   0.202543E+00   0.450190E+02   0.442569E+05   0.444577E+05   0.442569E+05  -0.115695E-01   0.442245E+05   0.441592E+05   0.993175E-01
   0.411720E+00   0.438261E+05   0.420896E+05   0.193297E+00   0.193283E+00   0.429707E+02   0.433547E+05   0.435514E+05   0.433547E+05  -0.113337E-01   0.433231E+05   0.432584E+05   0.971866E-01
   0.417077E+00   0.429464E+05   0.412336E+05   0.184574E+00   0.184561E+00   0.410595E+02   0.424827E+05   0.426755E+05   0.424827E+05  -0.111057E-01   0.424518E+05   0.423878E+05   0.949140E-01
   0.422435E+00   0.421026E+05   0.404168E+05   0.176382E+00   0.176370E+00   0.392656E+02   0.416469E+05   0.418360E+05   0.416469E+05  -0.108872E-01   0.416167E+05   0.415537E+05   0.923480E-01
   0.427792E+00   0.412969E+05   0.396421E+05   0.168700E+00   0.168688E+00   0.375634E+02   0.408498E+05   0.410352E+05   0.408498E+05  -0.106788E-01   0.408201E+05   0.407583E+05   0.894649E-01
   0.433149E+00   0.405276E+05   0.389070E+05   0.161490E+00   0.161478E+00   0.359602E+02   0.400893E+05   0.402713E+05   0.400893E+05  -0.104800E-01   0.400602E+05   0.399997E+05   0.863489E-01
   0.438506E+00   0.397898E+05   0.382054E+05   0.154704E+00   0.154693E+00   0.344665E+02   0.393605E+05   0.395392E+05   0.393605E+05  -0.102895E-01   0.393319E+05   0.392729E+05   0.831510E-01
   0.443863E+00   0.390774E+05   0.375291E+05   0.148294E+00   0.148284E+00   0.330621E+02   0.386571E+05   0.388325E+05   0.386571E+05  -0.101056E-01   0.386289E+05   0.385714E+05   0.800399E-01
   0.449221E+00   0.383852E+05   0.368712E+05   0.142218E+00   0.142208E+00   0.317165E+02   0.379734E+05   0.381458E+05   0.379734E+05  -0.992689E-02   0.379456E+05   0.378896E+05   0.771569E-01
   0.454578E+00   0.377090E+05   0.362261E+05   0.136442E+00   0.136432E+00   0.304297E+02   0.373051E+05   0.374744E+05   0.373051E+05  -0.975219E-02   0.372778E+05   0.372230E+05   0.745865E-01
   0.459935E+00   0.370453E+05   0.355900E+05   0.130937E+00   0.130928E+00   0.292092E+02   0.366487E+05   0.368151E+05   0.366487E+05  -0.958061E-02   0.366219E+05   0.365681E+05   0.723463E-01
   0.465292E+00   0.363924E+05   0.349615E+05   0.125684E+00   0.125675E+00   0.280506E+02   0.360027E+05   0.361661E+05   0.360027E+05  -0.941171E-02   0.359763E+05   0.359234E+05   0.703946E-01
   0.470650E+00   0.357513E+05   0.343422E+05   0.120673E+00   0.120664E+00   0.269489E+02   0.353679E+05   0.355284E+05   0.353679E+05  -0.924577E-02   0.353420E+05   0.352898E+05   0.686503E-01
   0.476007E+00   0.351248E+05   0.337361E+05   0.115902E+00   0.115893E+00   0.258908E+02   0.347474E+05   0.349051E+05   0.347474E+05  -0.908357E-02   0.347221E+05   0.346705E+05   0.670174E-01
   0.481364E+00   0.345155E+05   0.331469E+05   0.111368E+00   0.111360E+00   0.248750E+02   0.341440E+05   0.342991E+05   0.341440E+05  -0.892584E-02   0.341192E+05   0.340683E+05   0.654100E-01
   0.486721E+00   0.339247E+05   0.325768E+05   0.107064E+00   0.107056E+00   0.239185E+02   0.335592E+05   0.337115E+05   0.335592E+05  -0.877295E-02   0.335348E+05   0.334846E+05   0.637693E-01
   0.492079E+00   0.333528E+05   0.320263E+05   0.102979E+00   0.102971E+00   0.230223E+02   0.329932E+05   0.331430E+05   0.329932E+05  -0.862499E-02   0.329692E+05   0.329198E+05   0.620718E-01
   0.497436E+00   0.327996E+05   0.314956E+05   0.991015E-01   0.990944E-01   0.221641E+02   0.324461E+05   0.325934E+05   0.324461E+05  -0.848196E-02   0.324225E+05   0.323739E+05   0.603269E-01
   0.502793E+00   0.322646E+05   0.309836E+05   0.954196E-01   0.954128E-01   0.213376E+02   0.319171E+05   0.320620E+05   0.319171E+05  -0.834368E-02   0.318939E+05   0.318462E+05   0.585681E-01
   0.508150E+00   0.317459E+05   0.304879E+05   0.919176E-01   0.919111E-01   0.205562E+02   0.314043E+05   0.315469E+05   0.314043E+05  -0.820964E-02   0.313815E+05   0.313348E+05   0.568396E-01
   0.513507E+00   0.312409E+05   0.300053E+05   0.885791E-01   0.885727E-01   0.198201E+02   0.309051E+05   0.310454E+05   0.309051E+05  -0.807913E-02   0.308826E+05   0.308368E+05   0.551839E-01
   0.518865E+00   0.307474E+05   0.295332E+05   0.853898E-01   0.853837E-01   0.191154E+02   0.304172E+05   0.305553E+05   0.304172E+05  -0.795159E-02   0.303950E+05   0.303500E+05   0.536310E-01
   0.524222E+00   0.302643E+05   0.290702E+05   0.823396E-01   0.823338E-01   0.184335E+02   0.299395E+05   0.300754E+05   0.299395E+05  -0.782670E-02   0.299177E+05   0.298734E+05   0.521940E-01
   0.529579E+00   0.297912E+05   0.286158E+05   0.794210E-01   0.794153E-01   0.177806E+02   0.294715E+05   0.296053E+05   0.294715E+05  -0.770436E-02   0.294500E+05   0.294064E+05   0.508683E-01
   0.534936E+00   0.293279E+05   0.281700E+05   0.766272E-01   0.766217E-01   0.171603E+02   0.290130E+05   0.291447E+05   0.290130E+05  -0.758450E-02   0.289918E+05   0.289489E+05   0.496351E-01
   0.540294E+00   0.288742E+05   0.277330E+05   0.739526E-01   0.739474E-01   0.165662E+02   0.285640E+05   0.286937E+05   0.285640E+05  -0.746713E-02   0.285432E+05   0.285008E+05   0.484686E-01
   0.545651E+00   0.284307E+05   0.273056E+05   0.713932E-01   0.713881E-01   0.159964E+02   0.281250E+05   0.282527E+05   0.281250E+05  -0.735237E-02   0.281045E+05   0.280628E+05   0.473423E-01
   0.551008E+00   0.279980E+05   0.268890E+05   0.689459E-01   0.689409E-01   0.154500E+02   0.276969E+05   0.278226E+05   0.276969E+05  -0.724044E-02   0.276767E+05   0.276355E+05   0.462353E-01
   0.556365E+00   0.275769E+05   0.264839E+05   0.666070E-01   0.666022E-01   0.149271E+02   0.272802E+05   0.274040E+05   0.272802E+05  -0.713150E-02   0.272603E+05   0.272197E+05   0.451352E-01
   0.561723E+00   0.271670E+05   0.260902E+05   0.643713E-01   0.643667E-01   0.144310E+02   0.268747E+05   0.269967E+05   0.268747E+05  -0.702550E-02   0.268551E+05   0.268151E+05   0.440393E-01
   0.567080E+00   0.267677E+05   0.257070E+05   0.622325E-01   0.622281E-01   0.139570E+02   0.264797E+05   0.265999E+05   0.264797E+05  -0.692224E-02   0.264604E+05   0.264210E+05   0.429527E-01
   0.572437E+00   0.263782E+05   0.253336E+05   0.601848E-01   0.601805E-01   0.134970E+02   0.260945E+05   0.262130E+05   0.260945E+05  -0.682155E-02   0.260755E+05   0.260367E+05   0.418856E-01
   0.577794E+00   0.259981E+05   0.249694E+05   0.582230E-01   0.582189E-01   0.130558E+02   0.257186E+05   0.258354E+05   0.257186E+05  -0.672329E-02   0.256999E+05   0.256617E+05   0.408494E-01
   0.583151E+00   0.256269E+05   0.246135E+05   0.563422E-01   0.563382E-01   0.126401E+02   0.253515E+05   0.254666E+05   0.253515E+05  -0.662731E-02   0.253330E+05   0.252954E+05   0.398539E-01
   0.588509E+00   0.252636E+05   0.242651E+05   0.545372E-01   0.545333E-01   0.122399E+02   0.249922E+05   0.251057E+05   0.249922E+05  -0.653339E-02   0.249740E+05   0.249370E+05   0.389046E-01
   0.593866E+00   0.249077E+05   0.239234E+05   0.528031E-01   0.527994E-01   0.118491E+02   0.246401E+05   0.247520E+05   0.246401E+05  -0.644135E-02   0.246221E+05   0.245856E+05   0.380022E-01
   0.599223E+00   0.245587E+05   0.235882E+05   0.511366E-01   0.511329E-01   0.114737E+02   0.242949E+05   0.244052E+05   0.242949E+05  -0.635110E-02   0.242772E+05   0.242412E+05   0.371432E-01
   0.604580E+00   0.242169E+05   0.232596E+05   0.495351E-01   0.495316E-01   0.111188E+02   0.239567E+05   0.240655E+05   0.239567E+05  -0.626270E-02   0.239393E+05   0.239038E+05   0.363209E-01
   0.609938E+00   0.238825E+05   0.229380E+05   0.479965E-01   0.479931E-01   0.107792E+02   0.236258E+05   0.237331E+05   0.236258E+05  -0.617619E-02   0.236086E+05   0.235736E+05   0.355278E-01
   0.615295E+00   0.235552E+05   0.226233E+05   0.465180E-01   0.465146E-01   0.104474E+02   0.233020E+05   0.234078E+05   0.233020E+05  -0.609155E-02   0.232851E+05   0.232505E+05   0.347566E-01
   0.620652E+00   0.232350E+05   0.223155E+05   0.450968E-01   0.450935E-01   0.101259E+02   0.229852E+05   0.230896E+05   0.229852E+05  -0.600873E-02   0.229685E+05   0.229343E+05   0.340021E-01
   0.626009E+00   0.229218E+05   0.220145E+05   0.437306E-01   0.437275E-01   0.981965E+01   0.226753E+05   0.227783E+05   0.226753E+05  -0.592772E-02   0.226588E+05   0.226251E+05   0.332615E-01
   0.673400E+00   0.204252E+05   0.196176E+05   0.336760E-01   0.336736E-01   0.757061E+01   0.202057E+05   0.202975E+05   0.202057E+05  -0.528212E-02   0.201910E+05   0.201610E+05   0.275058E-01
   0.724379E+00   0.181861E+05   0.174671E+05   0.259125E-01   0.259106E-01   0.583403E+01   0.179907E+05   0.180724E+05   0.179907E+05  -0.470307E-02   0.179776E+05   0.179509E+05   0.227618E-01
   0.779218E+00   0.161817E+05   0.155419E+05   0.199255E-01   0.199241E-01   0.448684E+01   0.160078E+05   0.160805E+05   0.160078E+05  -0.418472E-02   0.159962E+05   0.159725E+05   0.188265E-01
   0.838207E+00   0.143890E+05   0.138202E+05   0.153119E-01   0.153108E-01   0.345227E+01   0.142344E+05   0.142990E+05   0.142344E+05  -0.372111E-02   0.142240E+05   0.142029E+05   0.155589E-01
   0.901663E+00   0.127870E+05   0.122815E+05   0.117593E-01   0.117585E-01   0.265185E+01   0.126496E+05   0.127071E+05   0.126496E+05  -0.330682E-02   0.126404E+05   0.126216E+05   0.128504E-01
   0.969922E+00   0.113564E+05   0.109076E+05   0.902547E-02   0.902483E-02   0.203712E+01   0.112344E+05   0.112854E+05   0.112344E+05  -0.293687E-02   0.112262E+05   0.112096E+05   0.106076E-01
   0.104335E+01   0.100801E+05   0.968172E+04   0.692321E-02   0.692272E-02   0.156396E+01   0.997179E+04   0.100171E+05   0.997179E+04  -0.260680E-02   0.996453E+04   0.994977E+04   0.875144E-02
   0.126616E+01   0.732770E+04   0.703817E+04   0.341738E-02   0.341714E-02   0.772650E+00   0.724898E+04   0.728191E+04   0.724898E+04  -0.189501E-02   0.724370E+04   0.723297E+04   0.524086E-02
   0.158124E+01   0.505843E+04   0.485859E+04   0.151259E-02   0.151248E-02   0.342086E+00   0.500409E+04   0.502682E+04   0.500409E+04  -0.130815E-02   0.500044E+04   0.499304E+04   0.289717E-02
   0.197473E+01   0.347686E+04   0.333953E+04   0.666614E-03   0.666566E-03   0.150826E+00   0.343951E+04   0.345514E+04   0.343951E+04  -0.899148E-03   0.343701E+04   0.343191E+04   0.159539E-02
   0.246614E+01   0.238045E+04   0.228643E+04   0.292635E-03   0.292614E-03   0.662498E-01   0.235488E+04   0.236558E+04   0.235488E+04  -0.615606E-03   0.235316E+04   0.234967E+04   0.875647E-03
