#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.184695E-03   0.228103E+07   0.228103E+07   0.299112E+07   0.299047E+07   0.228694E+07   0.228106E+07   0.228103E+07   0.228940E+07  -0.600288E+00   0.227669E+07   0.227669E+07   0.948683E+00
   0.203935E-03   0.228091E+07   0.228091E+07   0.298005E+07   0.297927E+07   0.228592E+07   0.228094E+07   0.228091E+07   0.228925E+07  -0.600247E+00   0.227658E+07   0.227658E+07   0.104725E+01
   0.225178E-03   0.228077E+07   0.228077E+07   0.296661E+07   0.296567E+07   0.228468E+07   0.228079E+07   0.228077E+07   0.228907E+07  -0.600196E+00   0.227644E+07   0.227644E+07   0.115600E+01
   0.248635E-03   0.228060E+07   0.228059E+07   0.295031E+07   0.294916E+07   0.228317E+07   0.228061E+07   0.228060E+07   0.228885E+07  -0.600134E+00   0.227626E+07   0.227626E+07   0.127596E+01
   0.274535E-03   0.228039E+07   0.228038E+07   0.293054E+07   0.292916E+07   0.228133E+07   0.228040E+07   0.228039E+07   0.228857E+07  -0.600059E+00   0.227606E+07   0.227605E+07   0.140825E+01
   0.303133E-03   0.228014E+07   0.228013E+07   0.290660E+07   0.290493E+07   0.227910E+07   0.228013E+07   0.228014E+07   0.228824E+07  -0.599968E+00   0.227580E+07   0.227580E+07   0.155412E+01
   0.334710E-03   0.227983E+07   0.227982E+07   0.287766E+07   0.287566E+07   0.227637E+07   0.227981E+07   0.227983E+07   0.228784E+07  -0.599857E+00   0.227549E+07   0.227549E+07   0.171489E+01
   0.369576E-03   0.227945E+07   0.227944E+07   0.284275E+07   0.284034E+07   0.227307E+07   0.227942E+07   0.227945E+07   0.228735E+07  -0.599722E+00   0.227511E+07   0.227511E+07   0.189203E+01
   0.408074E-03   0.227899E+07   0.227898E+07   0.280071E+07   0.279783E+07   0.226905E+07   0.227895E+07   0.227899E+07   0.228676E+07  -0.599558E+00   0.227465E+07   0.227465E+07   0.208712E+01
   0.450583E-03   0.227844E+07   0.227841E+07   0.275024E+07   0.274680E+07   0.226417E+07   0.227837E+07   0.227843E+07   0.228604E+07  -0.599359E+00   0.227409E+07   0.227409E+07   0.230186E+01
   0.497519E-03   0.227776E+07   0.227773E+07   0.268985E+07   0.268578E+07   0.225825E+07   0.227767E+07   0.227775E+07   0.228517E+07  -0.599118E+00   0.227341E+07   0.227341E+07   0.253805E+01
   0.549345E-03   0.227694E+07   0.227690E+07   0.261790E+07   0.261311E+07   0.225108E+07   0.227681E+07   0.227693E+07   0.228412E+07  -0.598827E+00   0.227258E+07   0.227258E+07   0.279766E+01
   0.606569E-03   0.227594E+07   0.227590E+07   0.253262E+07   0.252702E+07   0.224240E+07   0.227578E+07   0.227593E+07   0.228285E+07  -0.598475E+00   0.227158E+07   0.227158E+07   0.308272E+01
   0.669755E-03   0.227473E+07   0.227468E+07   0.243215E+07   0.242568E+07   0.223192E+07   0.227453E+07   0.227472E+07   0.228131E+07  -0.598050E+00   0.227036E+07   0.227036E+07   0.339539E+01
   0.739522E-03   0.227327E+07   0.227321E+07   0.231473E+07   0.230735E+07   0.221928E+07   0.227302E+07   0.227326E+07   0.227947E+07  -0.597539E+00   0.226889E+07   0.226889E+07   0.373787E+01
   0.816557E-03   0.227150E+07   0.227143E+07   0.217880E+07   0.217050E+07   0.220408E+07   0.227119E+07   0.227149E+07   0.227726E+07  -0.596927E+00   0.226711E+07   0.226710E+07   0.411244E+01
   0.901617E-03   0.226937E+07   0.226929E+07   0.202329E+07   0.201415E+07   0.218585E+07   0.226898E+07   0.226936E+07   0.227462E+07  -0.596193E+00   0.226495E+07   0.226495E+07   0.452135E+01
   0.995537E-03   0.226681E+07   0.226671E+07   0.184800E+07   0.183819E+07   0.216408E+07   0.226633E+07   0.226679E+07   0.227148E+07  -0.595320E+00   0.226236E+07   0.226235E+07   0.496686E+01
   0.109924E-02   0.226374E+07   0.226361E+07   0.165400E+07   0.164382E+07   0.213817E+07   0.226315E+07   0.226372E+07   0.226776E+07  -0.594284E+00   0.225924E+07   0.225923E+07   0.545110E+01
   0.121375E-02   0.226006E+07   0.225990E+07   0.144419E+07   0.143412E+07   0.210752E+07   0.225934E+07   0.226003E+07   0.226336E+07  -0.593061E+00   0.225550E+07   0.225549E+07   0.597610E+01
   0.134018E-02   0.225567E+07   0.225548E+07   0.122382E+07   0.121447E+07   0.207136E+07   0.225481E+07   0.225564E+07   0.225822E+07  -0.591627E+00   0.225103E+07   0.225101E+07   0.654376E+01
   0.147979E-02   0.225047E+07   0.225023E+07   0.100082E+07   0.992949E+06   0.202925E+07   0.224943E+07   0.225043E+07   0.225222E+07  -0.589956E+00   0.224571E+07   0.224569E+07   0.715583E+01
   0.163393E-02   0.224432E+07   0.224404E+07   0.785792E+06   0.780191E+06   0.198066E+07   0.224308E+07   0.224427E+07   0.224527E+07  -0.588023E+00   0.223941E+07   0.223939E+07   0.781399E+01
   0.180414E-02   0.223710E+07   0.223675E+07   0.591220E+06   0.588531E+06   0.192518E+07   0.223563E+07   0.223704E+07   0.223728E+07  -0.585804E+00   0.223199E+07   0.223197E+07   0.852001E+01
   0.199207E-02   0.222866E+07   0.222825E+07   0.429632E+06   0.430082E+06   0.186263E+07   0.222694E+07   0.222860E+07   0.222814E+07  -0.583276E+00   0.222332E+07   0.222329E+07   0.927597E+01
   0.219958E-02   0.221888E+07   0.221837E+07   0.310550E+06   0.313663E+06   0.179320E+07   0.221687E+07   0.221880E+07   0.221774E+07  -0.580415E+00   0.221323E+07   0.221320E+07   0.100845E+02
   0.242871E-02   0.220760E+07   0.220699E+07   0.236688E+06   0.241132E+06   0.171749E+07   0.220529E+07   0.220751E+07   0.220595E+07  -0.577198E+00   0.220161E+07   0.220157E+07   0.109492E+02
   0.268171E-02   0.219470E+07   0.219395E+07   0.200848E+06   0.204648E+06   0.163663E+07   0.219206E+07   0.219458E+07   0.219262E+07  -0.573594E+00   0.218832E+07   0.218827E+07   0.118745E+02
   0.296106E-02   0.218003E+07   0.217912E+07   0.186030E+06   0.187345E+06   0.155220E+07   0.217704E+07   0.217988E+07   0.217756E+07  -0.569567E+00   0.217324E+07   0.217318E+07   0.128659E+02
   0.326951E-02   0.216344E+07   0.216234E+07   0.171250E+06   0.169573E+06   0.146616E+07   0.216012E+07   0.216327E+07   0.216059E+07  -0.565071E+00   0.215626E+07   0.215619E+07   0.139291E+02
   0.361009E-02   0.214481E+07   0.214347E+07   0.142740E+06   0.139714E+06   0.138048E+07   0.214114E+07   0.214459E+07   0.214154E+07  -0.560053E+00   0.213725E+07   0.213717E+07   0.150696E+02
   0.398614E-02   0.212396E+07   0.212234E+07   0.103950E+06   0.102493E+06   0.129684E+07   0.211997E+07   0.212370E+07   0.212025E+07  -0.554464E+00   0.211609E+07   0.211598E+07   0.162920E+02
   0.440137E-02   0.210075E+07   0.209880E+07   0.727507E+05   0.742006E+05   0.121617E+07   0.209645E+07   0.210044E+07   0.209665E+07  -0.548263E+00   0.209260E+07   0.209247E+07   0.176002E+02
   0.485986E-02   0.207503E+07   0.207267E+07   0.614253E+05   0.634328E+05   0.113857E+07   0.207043E+07   0.207466E+07   0.207060E+07  -0.541418E+00   0.206663E+07   0.206648E+07   0.189979E+02
   0.536610E-02   0.204665E+07   0.204379E+07   0.589556E+05   0.536588E+05   0.106345E+07   0.204176E+07   0.204620E+07   0.204192E+07  -0.533893E+00   0.203802E+07   0.203785E+07   0.204894E+02
   0.592508E-02   0.201553E+07   0.201208E+07   0.466478E+05   0.433386E+05   0.987944E+06   0.201034E+07   0.201499E+07   0.201047E+07  -0.525657E+00   0.200671E+07   0.200650E+07   0.220780E+02
   0.654229E-02   0.198140E+07   0.197724E+07   0.312253E+05   0.349408E+05   0.911754E+06   0.197590E+07   0.198074E+07   0.197600E+07  -0.516633E+00   0.197240E+07   0.197215E+07   0.237650E+02
   0.722379E-02   0.194415E+07   0.193915E+07   0.285239E+05   0.281146E+05   0.835284E+06   0.193835E+07   0.194336E+07   0.193843E+07  -0.506796E+00   0.193499E+07   0.193469E+07   0.255493E+02
   0.797629E-02   0.190361E+07   0.189760E+07   0.247469E+05   0.225734E+05   0.757527E+06   0.189748E+07   0.190266E+07   0.189754E+07  -0.496098E+00   0.189427E+07   0.189392E+07   0.274277E+02
   0.880716E-02   0.185966E+07   0.185246E+07   0.161291E+05   0.180826E+05   0.681058E+06   0.185319E+07   0.185852E+07   0.185324E+07  -0.484510E+00   0.185016E+07   0.184974E+07   0.293925E+02
   0.972459E-02   0.181214E+07   0.180354E+07   0.159842E+05   0.144479E+05   0.608779E+06   0.180535E+07   0.181078E+07   0.180539E+07  -0.471992E+00   0.180249E+07   0.180199E+07   0.314303E+02
   0.107376E-01   0.176091E+07   0.175066E+07   0.106699E+05   0.115114E+05   0.542718E+06   0.175378E+07   0.175929E+07   0.175381E+07  -0.458504E+00   0.175109E+07   0.175051E+07   0.335209E+02
   0.118561E-01   0.170581E+07   0.169364E+07   0.100749E+05   0.914270E+04   0.480131E+06   0.169835E+07   0.170388E+07   0.169838E+07  -0.444006E+00   0.169584E+07   0.169516E+07   0.356340E+02
   0.130911E-01   0.164673E+07   0.163235E+07   0.659995E+04   0.723592E+04   0.418886E+06   0.163891E+07   0.164446E+07   0.163893E+07  -0.428463E+00   0.163659E+07   0.163580E+07   0.377279E+02
   0.144548E-01   0.158356E+07   0.156664E+07   0.604319E+04   0.570438E+04   0.362767E+06   0.157538E+07   0.158088E+07   0.157539E+07  -0.411848E+00   0.157324E+07   0.157231E+07   0.397456E+02
   0.159606E-01   0.151623E+07   0.149646E+07   0.488518E+04   0.447731E+04   0.312508E+06   0.150768E+07   0.151311E+07   0.150769E+07  -0.394147E+00   0.150573E+07   0.150465E+07   0.416127E+02
   0.176232E-01   0.144476E+07   0.142182E+07   0.331100E+04   0.349695E+04   0.266064E+06   0.143582E+07   0.144113E+07   0.143582E+07  -0.375358E+00   0.143405E+07   0.143282E+07   0.432342E+02
   0.194589E-01   0.136925E+07   0.134289E+07   0.247561E+04   0.271631E+04   0.224110E+06   0.135992E+07   0.136508E+07   0.135992E+07  -0.355515E+00   0.135834E+07   0.135694E+07   0.444928E+02
   0.214860E-01   0.128997E+07   0.126004E+07   0.201724E+04   0.209723E+04   0.187226E+06   0.128027E+07   0.128524E+07   0.128028E+07  -0.334693E+00   0.127888E+07   0.127730E+07   0.452497E+02
   0.237241E-01   0.120745E+07   0.117390E+07   0.187643E+04   0.160862E+04   0.154393E+06   0.119740E+07   0.120214E+07   0.119741E+07  -0.313028E+00   0.119618E+07   0.119444E+07   0.453477E+02
   0.261954E-01   0.112247E+07   0.108552E+07   0.104813E+04   0.122531E+04   0.126056E+06   0.111215E+07   0.111663E+07   0.111215E+07  -0.290739E+00   0.111109E+07   0.110920E+07   0.446210E+02
   0.289242E-01   0.103623E+07   0.996357E+06   0.107769E+04   0.926799E+03   0.101780E+06   0.102572E+07   0.102992E+07   0.102573E+07  -0.268145E+00   0.102482E+07   0.102282E+07   0.429123E+02
   0.319371E-01   0.950308E+06   0.908389E+06   0.711693E+03   0.696393E+03   0.812900E+05   0.939778E+06   0.943678E+06   0.939780E+06  -0.245677E+00   0.939015E+06   0.936944E+06   0.401002E+02
   0.352640E-01   0.866700E+06   0.824011E+06   0.552726E+03   0.520430E+03   0.643551E+05   0.856350E+06   0.859948E+06   0.856352E+06  -0.223866E+00   0.855703E+06   0.853642E+06   0.361379E+02
   0.389374E-01   0.787638E+06   0.745848E+06   0.374669E+03   0.387645E+03   0.506298E+05   0.777725E+06   0.781028E+06   0.777726E+06  -0.203312E+00   0.777168E+06   0.775209E+06   0.311006E+02
   0.429934E-01   0.715297E+06   0.676336E+06   0.271275E+03   0.288667E+03   0.396746E+05   0.706107E+06   0.709135E+06   0.706108E+06  -0.184590E+00   0.705612E+06   0.703858E+06   0.252332E+02
   0.472928E-01   0.653360E+06   0.618918E+06   0.217987E+03   0.217971E+03   0.313573E+05   0.645124E+06   0.647912E+06   0.645125E+06  -0.168647E+00   0.644661E+06   0.643191E+06   0.192218E+02
   0.515921E-01   0.604407E+06   0.575300E+06   0.169577E+03   0.169565E+03   0.253673E+05   0.597205E+06   0.599803E+06   0.597206E+06  -0.156120E+00   0.596754E+06   0.595595E+06   0.138925E+02
   0.558915E-01   0.564545E+06   0.540809E+06   0.135105E+03   0.135095E+03   0.209124E+05   0.558350E+06   0.560791E+06   0.558350E+06  -0.145963E+00   0.557900E+06   0.557035E+06   0.956690E+01
   0.601908E-01   0.530765E+06   0.511772E+06   0.109641E+03   0.109633E+03   0.174758E+05   0.525454E+06   0.527761E+06   0.525454E+06  -0.137363E+00   0.525005E+06   0.524384E+06   0.638651E+01
   0.644902E-01   0.500838E+06   0.485497E+06   0.902029E+02   0.901965E+02   0.147604E+05   0.496224E+06   0.498411E+06   0.496224E+06  -0.129722E+00   0.495784E+06   0.495332E+06   0.433150E+01
   0.687895E-01   0.472905E+06   0.459903E+06   0.748969E+02   0.748916E+02   0.125428E+05   0.468776E+06   0.470849E+06   0.468776E+06  -0.122546E+00   0.468353E+06   0.467991E+06   0.325784E+01
   0.730889E-01   0.445563E+06   0.433604E+06   0.625135E+02   0.625091E+02   0.106892E+05   0.441713E+06   0.443671E+06   0.441713E+06  -0.115472E+00   0.441318E+06   0.440970E+06   0.294060E+01
   0.773882E-01   0.418308E+06   0.406317E+06   0.523309E+02   0.523272E+02   0.911573E+04   0.414569E+06   0.416411E+06   0.414569E+06  -0.108376E+00   0.414210E+06   0.413820E+06   0.311893E+01
   0.816876E-01   0.391412E+06   0.378667E+06   0.439159E+02   0.439128E+02   0.777920E+04   0.387670E+06   0.389396E+06   0.387670E+06  -0.101344E+00   0.387353E+06   0.386885E+06   0.353737E+01
   0.859869E-01   0.365565E+06   0.351754E+06   0.369818E+02   0.369791E+02   0.665432E+04   0.361767E+06   0.363380E+06   0.361767E+06  -0.945722E-01   0.361490E+06   0.360937E+06   0.397913E+01
   0.902862E-01   0.341460E+06   0.326658E+06   0.313003E+02   0.312981E+02   0.571438E+04   0.337611E+06   0.339119E+06   0.337611E+06  -0.882574E-01   0.337371E+06   0.336745E+06   0.428763E+01
   0.956435E-01   0.314663E+06   0.299181E+06   0.256763E+02   0.256745E+02   0.476258E+04   0.310823E+06   0.312214E+06   0.310824E+06  -0.812547E-01   0.310619E+06   0.309945E+06   0.435817E+01
   0.101001E+00   0.292100E+06   0.276836E+06   0.213622E+02   0.213607E+02   0.401808E+04   0.288394E+06   0.289686E+06   0.288394E+06  -0.753912E-01   0.288211E+06   0.287548E+06   0.405643E+01
   0.106358E+00   0.273977E+06   0.259830E+06   0.180713E+02   0.180700E+02   0.344208E+04   0.270526E+06   0.271739E+06   0.270526E+06  -0.707202E-01   0.270351E+06   0.269755E+06   0.346614E+01
   0.111715E+00   0.259753E+06   0.247366E+06   0.155402E+02   0.155391E+02   0.299342E+04   0.256642E+06   0.257794E+06   0.256642E+06  -0.670906E-01   0.256465E+06   0.255971E+06   0.273494E+01
   0.117072E+00   0.248245E+06   0.237857E+06   0.135377E+02   0.135367E+02   0.263479E+04   0.245498E+06   0.246602E+06   0.245498E+06  -0.641775E-01   0.245316E+06   0.244934E+06   0.201998E+01
