#    L    TT             EE             TE             PP             TP          
    75   0.180837E+04   0.686792E+00  -0.119410E+02   0.530205E+07   0.880646E+04
    76   0.183018E+04   0.703883E+00  -0.124888E+02   0.527269E+07   0.868736E+04
    77   0.185228E+04   0.720901E+00  -0.130416E+02   0.524323E+07   0.857050E+04
    78   0.187470E+04   0.737868E+00  -0.136007E+02   0.521371E+07   0.845561E+04
    79   0.189725E+04   0.754720E+00  -0.141622E+02   0.518413E+07   0.834243E+04
    80   0.192006E+04   0.771458E+00  -0.147273E+02   0.515453E+07   0.823069E+04
    81   0.194302E+04   0.788024E+00  -0.152965E+02   0.512492E+07   0.812021E+04
    82   0.196620E+04   0.804438E+00  -0.158687E+02   0.509532E+07   0.801120E+04
    83   0.198952E+04   0.820672E+00  -0.164437E+02   0.506573E+07   0.790395E+04
    84   0.201307E+04   0.836720E+00  -0.170197E+02   0.503618E+07   0.779877E+04
    85   0.203670E+04   0.852554E+00  -0.175977E+02   0.500668E+07   0.769596E+04
    86   0.206050E+04   0.868185E+00  -0.181768E+02   0.497724E+07   0.759574E+04
    87   0.208468E+04   0.883577E+00  -0.187561E+02   0.494787E+07   0.749806E+04
    88   0.210880E+04   0.898741E+00  -0.193353E+02   0.491857E+07   0.740280E+04
    89   0.213323E+04   0.913657E+00  -0.199159E+02   0.488936E+07   0.730982E+04
    90   0.215784E+04   0.928283E+00  -0.204948E+02   0.486025E+07   0.721900E+04
    91   0.218254E+04   0.942609E+00  -0.210726E+02   0.483123E+07   0.713023E+04
    92   0.220748E+04   0.956622E+00  -0.216485E+02   0.480231E+07   0.704344E+04
    93   0.223268E+04   0.970317E+00  -0.222228E+02   0.477350E+07   0.695855E+04
    94   0.225789E+04   0.983661E+00  -0.227938E+02   0.474481E+07   0.687552E+04
    95   0.228335E+04   0.996658E+00  -0.233625E+02   0.471622E+07   0.679427E+04
    96   0.230877E+04   0.100929E+01  -0.239282E+02   0.468776E+07   0.671475E+04
    97   0.233457E+04   0.102156E+01  -0.244902E+02   0.465941E+07   0.663690E+04
    98   0.236056E+04   0.103345E+01  -0.250463E+02   0.463119E+07   0.656066E+04
    99   0.238656E+04   0.104494E+01  -0.255996E+02   0.460310E+07   0.648595E+04
   100   0.241282E+04   0.105601E+01  -0.261456E+02   0.457513E+07   0.641273E+04
   101   0.243918E+04   0.106675E+01  -0.266875E+02   0.454731E+07   0.634093E+04
   102   0.246601E+04   0.107700E+01  -0.272231E+02   0.451962E+07   0.627049E+04
