#    L    TT             EE             TE             PP             TP          
    75   0.198956E+04   0.389533E+00  -0.802829E+01   0.534146E+07   0.861892E+04
    76   0.201517E+04   0.403502E+00  -0.853373E+01   0.531198E+07   0.849860E+04
    77   0.204113E+04   0.417644E+00  -0.904962E+01   0.528240E+07   0.838100E+04
    78   0.206745E+04   0.431985E+00  -0.957739E+01   0.525274E+07   0.826571E+04
    79   0.209395E+04   0.446468E+00  -0.101133E+02   0.522302E+07   0.815237E+04
    80   0.212074E+04   0.461098E+00  -0.106586E+02   0.519327E+07   0.804058E+04
    81   0.214772E+04   0.475823E+00  -0.112141E+02   0.516350E+07   0.793006E+04
    82   0.217496E+04   0.490665E+00  -0.117787E+02   0.513374E+07   0.782098E+04
    83   0.220238E+04   0.505600E+00  -0.123523E+02   0.510399E+07   0.771358E+04
    84   0.223007E+04   0.520624E+00  -0.129331E+02   0.507427E+07   0.760814E+04
    85   0.225788E+04   0.535713E+00  -0.135223E+02   0.504459E+07   0.750493E+04
    86   0.228591E+04   0.550880E+00  -0.141190E+02   0.501496E+07   0.740413E+04
    87   0.231436E+04   0.566093E+00  -0.147223E+02   0.498540E+07   0.730576E+04
    88   0.234280E+04   0.581367E+00  -0.153322E+02   0.495592E+07   0.720975E+04
    89   0.237161E+04   0.596687E+00  -0.159502E+02   0.492651E+07   0.711603E+04
    90   0.240063E+04   0.612016E+00  -0.165730E+02   0.489719E+07   0.702454E+04
    91   0.242979E+04   0.627345E+00  -0.172016E+02   0.486797E+07   0.693523E+04
    92   0.245924E+04   0.642660E+00  -0.178351E+02   0.483885E+07   0.684802E+04
    93   0.248899E+04   0.657954E+00  -0.184736E+02   0.480983E+07   0.676284E+04
    94   0.251881E+04   0.673189E+00  -0.191156E+02   0.478092E+07   0.667963E+04
    95   0.254893E+04   0.688366E+00  -0.197619E+02   0.475212E+07   0.659832E+04
    96   0.257904E+04   0.703470E+00  -0.204118E+02   0.472344E+07   0.651883E+04
    97   0.260960E+04   0.718486E+00  -0.210646E+02   0.469487E+07   0.644110E+04
    98   0.264038E+04   0.733407E+00  -0.217180E+02   0.466642E+07   0.636506E+04
    99   0.267123E+04   0.748195E+00  -0.223751E+02   0.463810E+07   0.629065E+04
   100   0.270239E+04   0.762852E+00  -0.230314E+02   0.460991E+07   0.621778E+04
   101   0.273370E+04   0.777436E+00  -0.236900E+02   0.458186E+07   0.614640E+04
   102   0.276553E+04   0.791799E+00  -0.243487E+02   0.455393E+07   0.607643E+04
   103   0.279729E+04   0.806016E+00  -0.250082E+02   0.452615E+07   0.600781E+04
   104   0.282928E+04   0.820086E+00  -0.256655E+02   0.449852E+07   0.594046E+04
   105   0.286143E+04   0.833935E+00  -0.263223E+02   0.447103E+07   0.587432E+04
   106   0.289380E+04   0.847639E+00  -0.269778E+02   0.444369E+07   0.580932E+04
   107   0.292611E+04   0.861048E+00  -0.276304E+02   0.441650E+07   0.574539E+04
   108   0.295880E+04   0.874236E+00  -0.282811E+02   0.438948E+07   0.568246E+04
   109   0.299164E+04   0.887131E+00  -0.289284E+02   0.436261E+07   0.562046E+04
   110   0.302457E+04   0.899731E+00  -0.295707E+02   0.433592E+07   0.555933E+04
   111   0.305766E+04   0.912111E+00  -0.302097E+02   0.430939E+07   0.549900E+04
   112   0.309091E+04   0.924196E+00  -0.308445E+02   0.428303E+07   0.543946E+04
   113   0.312440E+04   0.935987E+00  -0.314735E+02   0.425684E+07   0.538072E+04
   114   0.315796E+04   0.947409E+00  -0.320962E+02   0.423082E+07   0.532278E+04
   115   0.319176E+04   0.958610E+00  -0.327122E+02   0.420497E+07   0.526563E+04
   116   0.322557E+04   0.969366E+00  -0.333210E+02   0.417930E+07   0.520928E+04
   117   0.325969E+04   0.979752E+00  -0.339217E+02   0.415379E+07   0.515373E+04
   118   0.329396E+04   0.989917E+00  -0.345151E+02   0.412846E+07   0.509899E+04
   119   0.332824E+04   0.999710E+00  -0.350988E+02   0.410330E+07   0.504504E+04
   120   0.336267E+04   0.100898E+01  -0.356728E+02   0.407831E+07   0.499189E+04
   121   0.339711E+04   0.101803E+01  -0.362370E+02   0.405350E+07   0.493954E+04
   122   0.343163E+04   0.102657E+01  -0.367908E+02   0.402886E+07   0.488800E+04
   123   0.346624E+04   0.103465E+01  -0.373340E+02   0.400439E+07   0.483726E+04
   124   0.350092E+04   0.104236E+01  -0.378636E+02   0.398010E+07   0.478733E+04
   125   0.353560E+04   0.104963E+01  -0.383819E+02   0.395598E+07   0.473820E+04
   126   0.357037E+04   0.105652E+01  -0.388880E+02   0.393204E+07   0.468988E+04
   127   0.360514E+04   0.106289E+01  -0.393812E+02   0.390828E+07   0.464237E+04
   128   0.363991E+04   0.106889E+01  -0.398607E+02   0.388469E+07   0.459566E+04
   129   0.367476E+04   0.107436E+01  -0.403256E+02   0.386127E+07   0.454976E+04
   130   0.370962E+04   0.107931E+01  -0.407753E+02   0.383804E+07   0.450467E+04
   131   0.374448E+04   0.108389E+01  -0.412111E+02   0.381498E+07   0.446039E+04
   132   0.377941E+04   0.108794E+01  -0.416302E+02   0.379209E+07   0.441690E+04
   133   0.381427E+04   0.109155E+01  -0.420347E+02   0.376938E+07   0.437417E+04
   134   0.384914E+04   0.109471E+01  -0.424202E+02   0.374685E+07   0.433218E+04
   135   0.388400E+04   0.109734E+01  -0.427898E+02   0.372449E+07   0.429092E+04
   136   0.391873E+04   0.109945E+01  -0.431397E+02   0.370230E+07   0.425035E+04
   137   0.395346E+04   0.110111E+01  -0.434722E+02   0.368028E+07   0.421045E+04
   138   0.398811E+04   0.110225E+01  -0.437858E+02   0.365843E+07   0.417121E+04
   139   0.402255E+04   0.110301E+01  -0.440798E+02   0.363675E+07   0.413259E+04
   140   0.405707E+04   0.110317E+01  -0.443549E+02   0.361524E+07   0.409458E+04
   141   0.409137E+04   0.110282E+01  -0.446090E+02   0.359390E+07   0.405716E+04
   142   0.412568E+04   0.110201E+01  -0.448428E+02   0.357272E+07   0.402029E+04
   143   0.415991E+04   0.110075E+01  -0.450564E+02   0.355171E+07   0.398397E+04
   144   0.419393E+04   0.109897E+01  -0.452490E+02   0.353086E+07   0.394816E+04
   145   0.422781E+04   0.109681E+01  -0.454199E+02   0.351017E+07   0.391284E+04
   146   0.426176E+04   0.109406E+01  -0.455691E+02   0.348965E+07   0.387799E+04
   147   0.429535E+04   0.109093E+01  -0.456952E+02   0.346929E+07   0.384359E+04
   148   0.432880E+04   0.108728E+01  -0.457997E+02   0.344909E+07   0.380961E+04
   149   0.436219E+04   0.108317E+01  -0.458811E+02   0.342904E+07   0.377604E+04
   150   0.439528E+04   0.107869E+01  -0.459371E+02   0.340916E+07   0.374284E+04
   151   0.442823E+04   0.107376E+01  -0.459709E+02   0.338943E+07   0.371001E+04
   152   0.446089E+04   0.106831E+01  -0.459808E+02   0.336986E+07   0.367753E+04
   153   0.449340E+04   0.106248E+01  -0.459647E+02   0.335044E+07   0.364539E+04
   154   0.452570E+04   0.105628E+01  -0.459247E+02   0.333118E+07   0.361361E+04
   155   0.455777E+04   0.104970E+01  -0.458601E+02   0.331207E+07   0.358217E+04
   156   0.458947E+04   0.104274E+01  -0.457708E+02   0.329311E+07   0.355107E+04
   157   0.462110E+04   0.103541E+01  -0.456553E+02   0.327431E+07   0.352031E+04
   158   0.465243E+04   0.102778E+01  -0.455144E+02   0.325565E+07   0.348989E+04
   159   0.468345E+04   0.101970E+01  -0.453479E+02   0.323715E+07   0.345980E+04
   160   0.471425E+04   0.101131E+01  -0.451545E+02   0.321879E+07   0.343003E+04
   161   0.474482E+04   0.100270E+01  -0.449356E+02   0.320058E+07   0.340060E+04
   162   0.477508E+04   0.993718E+00  -0.446910E+02   0.318252E+07   0.337148E+04
   163   0.480518E+04   0.984430E+00  -0.444194E+02   0.316460E+07   0.334269E+04
   164   0.483483E+04   0.974916E+00  -0.441222E+02   0.314683E+07   0.331422E+04
   165   0.486431E+04   0.965100E+00  -0.437970E+02   0.312921E+07   0.328605E+04
   166   0.489349E+04   0.955130E+00  -0.434455E+02   0.311172E+07   0.325821E+04
   167   0.492242E+04   0.944786E+00  -0.430683E+02   0.309438E+07   0.323066E+04
   168   0.495089E+04   0.934437E+00  -0.426631E+02   0.307718E+07   0.320343E+04
   169   0.497905E+04   0.923786E+00  -0.422299E+02   0.306012E+07   0.317649E+04
   170   0.500689E+04   0.913057E+00  -0.417702E+02   0.304320E+07   0.314986E+04
   171   0.503426E+04   0.902250E+00  -0.412818E+02   0.302641E+07   0.312352E+04
   172   0.506124E+04   0.891289E+00  -0.407660E+02   0.300977E+07   0.309748E+04
   173   0.508774E+04   0.880176E+00  -0.402228E+02   0.299326E+07   0.307172E+04
   174   0.511392E+04   0.869206E+00  -0.396523E+02   0.297689E+07   0.304626E+04
   175   0.513971E+04   0.858084E+00  -0.390536E+02   0.296065E+07   0.302107E+04
   176   0.516495E+04   0.847032E+00  -0.384268E+02   0.294455E+07   0.299617E+04
   177   0.518978E+04   0.835975E+00  -0.377733E+02   0.292857E+07   0.297154E+04
   178   0.521415E+04   0.825137E+00  -0.370917E+02   0.291273E+07   0.294719E+04
   179   0.523804E+04   0.814221E+00  -0.363819E+02   0.289702E+07   0.292310E+04
   180   0.526160E+04   0.803448E+00  -0.356454E+02   0.288144E+07   0.289926E+04
   181   0.528462E+04   0.792820E+00  -0.348824E+02   0.286599E+07   0.287569E+04
   182   0.530717E+04   0.782411E+00  -0.340912E+02   0.285066E+07   0.285236E+04
   183   0.532918E+04   0.772146E+00  -0.332733E+02   0.283546E+07   0.282927E+04
   184   0.535079E+04   0.762100E+00  -0.324281E+02   0.282038E+07   0.280642E+04
   185   0.537193E+04   0.752421E+00  -0.315578E+02   0.280542E+07   0.278380E+04
   186   0.539223E+04   0.742968E+00  -0.306594E+02   0.279059E+07   0.276141E+04
   187   0.541236E+04   0.733883E+00  -0.297344E+02   0.277588E+07   0.273924E+04
   188   0.543195E+04   0.725151E+00  -0.287843E+02   0.276128E+07   0.271729E+04
   189   0.545092E+04   0.716808E+00  -0.278076E+02   0.274680E+07   0.269554E+04
   190   0.546972E+04   0.708906E+00  -0.268066E+02   0.273244E+07   0.267400E+04
   191   0.548761E+04   0.701469E+00  -0.257783E+02   0.271820E+07   0.265266E+04
   192   0.550511E+04   0.694519E+00  -0.247249E+02   0.270407E+07   0.263151E+04
   193   0.552200E+04   0.688099E+00  -0.236479E+02   0.269005E+07   0.261055E+04
   194   0.553849E+04   0.682240E+00  -0.225451E+02   0.267614E+07   0.258978E+04
   195   0.555438E+04   0.676979E+00  -0.214188E+02   0.266234E+07   0.256918E+04
   196   0.556965E+04   0.672353E+00  -0.202682E+02   0.264866E+07   0.254875E+04
   197   0.558446E+04   0.668406E+00  -0.190948E+02   0.263508E+07   0.252848E+04
   198   0.559874E+04   0.665162E+00  -0.178978E+02   0.262161E+07   0.250838E+04
   199   0.561248E+04   0.662657E+00  -0.166781E+02   0.260824E+07   0.248844E+04
   200   0.562568E+04   0.660921E+00  -0.154364E+02   0.259498E+07   0.246864E+04
   201   0.563827E+04   0.660013E+00  -0.141718E+02   0.258182E+07   0.244899E+04
   202   0.565034E+04   0.659941E+00  -0.128860E+02   0.256876E+07   0.242948E+04
   203   0.566179E+04   0.660766E+00  -0.115782E+02   0.255580E+07   0.241011E+04
   204   0.567256E+04   0.662508E+00  -0.102514E+02   0.254295E+07   0.239089E+04
   205   0.568279E+04   0.665214E+00  -0.890329E+01   0.253019E+07   0.237181E+04
   206   0.569234E+04   0.668920E+00  -0.753523E+01   0.251753E+07   0.235286E+04
   207   0.570136E+04   0.673650E+00  -0.614764E+01   0.250498E+07   0.233406E+04
   208   0.570962E+04   0.679456E+00  -0.474106E+01   0.249251E+07   0.231539E+04
   209   0.571727E+04   0.686359E+00  -0.331586E+01   0.248015E+07   0.229686E+04
   210   0.572431E+04   0.694413E+00  -0.187294E+01   0.246788E+07   0.227847E+04
   211   0.573074E+04   0.703648E+00  -0.412366E+00   0.245570E+07   0.226021E+04
   212   0.573641E+04   0.714093E+00   0.106491E+01   0.244362E+07   0.224209E+04
   213   0.574155E+04   0.725794E+00   0.255893E+01   0.243164E+07   0.222410E+04
   214   0.574601E+04   0.738742E+00   0.406848E+01   0.241974E+07   0.220624E+04
   215   0.574985E+04   0.753133E+00   0.559281E+01   0.240794E+07   0.218851E+04
   216   0.575302E+04   0.768779E+00   0.713244E+01   0.239622E+07   0.217092E+04
   217   0.575564E+04   0.785838E+00   0.868535E+01   0.238460E+07   0.215346E+04
   218   0.575759E+04   0.804310E+00   0.102517E+02   0.237307E+07   0.213612E+04
   219   0.575892E+04   0.824195E+00   0.118326E+02   0.236162E+07   0.211892E+04
   220   0.575964E+04   0.845643E+00   0.134234E+02   0.235026E+07   0.210184E+04
   221   0.575976E+04   0.868578E+00   0.150265E+02   0.233899E+07   0.208489E+04
   222   0.575926E+04   0.893150E+00   0.166402E+02   0.232780E+07   0.206806E+04
   223   0.575801E+04   0.919285E+00   0.182654E+02   0.231670E+07   0.205136E+04
   224   0.575629E+04   0.946983E+00   0.198984E+02   0.230568E+07   0.203478E+04
   225   0.575389E+04   0.976393E+00   0.215420E+02   0.229475E+07   0.201833E+04
   226   0.575088E+04   0.100752E+01   0.231926E+02   0.228390E+07   0.200199E+04
   227   0.574719E+04   0.104035E+01   0.248516E+02   0.227313E+07   0.198578E+04
   228   0.574296E+04   0.107490E+01   0.265176E+02   0.226244E+07   0.196969E+04
   229   0.573811E+04   0.111124E+01   0.281891E+02   0.225183E+07   0.195372E+04
   230   0.573259E+04   0.114936E+01   0.298667E+02   0.224130E+07   0.193787E+04
   231   0.572638E+04   0.118934E+01   0.315498E+02   0.223085E+07   0.192214E+04
   232   0.571963E+04   0.123112E+01   0.332369E+02   0.222047E+07   0.190652E+04
   233   0.571228E+04   0.127491E+01   0.349263E+02   0.221018E+07   0.189102E+04
   234   0.570416E+04   0.132055E+01   0.366190E+02   0.219995E+07   0.187563E+04
   235   0.569551E+04   0.136814E+01   0.383134E+02   0.218981E+07   0.186036E+04
   236   0.568618E+04   0.141767E+01   0.400095E+02   0.217973E+07   0.184520E+04
   237   0.567623E+04   0.146921E+01   0.417057E+02   0.216974E+07   0.183016E+04
   238   0.566567E+04   0.152283E+01   0.434022E+02   0.215981E+07   0.181522E+04
   239   0.565458E+04   0.157840E+01   0.450981E+02   0.214995E+07   0.180040E+04
   240   0.564272E+04   0.163597E+01   0.467911E+02   0.214017E+07   0.178569E+04
   241   0.563041E+04   0.169572E+01   0.484822E+02   0.213046E+07   0.177108E+04
   242   0.561748E+04   0.175747E+01   0.501704E+02   0.212081E+07   0.175658E+04
   243   0.560394E+04   0.182139E+01   0.518543E+02   0.211124E+07   0.174220E+04
   244   0.558980E+04   0.188740E+01   0.535346E+02   0.210173E+07   0.172791E+04
   245   0.557504E+04   0.195557E+01   0.552083E+02   0.209229E+07   0.171374E+04
   246   0.555974E+04   0.202590E+01   0.568770E+02   0.208291E+07   0.169966E+04
   247   0.554391E+04   0.209833E+01   0.585384E+02   0.207360E+07   0.168570E+04
   248   0.552746E+04   0.217321E+01   0.601925E+02   0.206436E+07   0.167183E+04
   249   0.551055E+04   0.225004E+01   0.618384E+02   0.205517E+07   0.165807E+04
   250   0.549304E+04   0.232926E+01   0.634749E+02   0.204605E+07   0.164440E+04
   251   0.547505E+04   0.241057E+01   0.651024E+02   0.203700E+07   0.163084E+04
   252   0.545639E+04   0.249419E+01   0.667197E+02   0.202800E+07   0.161738E+04
   253   0.543741E+04   0.257991E+01   0.683251E+02   0.201906E+07   0.160401E+04
   254   0.541782E+04   0.266801E+01   0.699187E+02   0.201019E+07   0.159075E+04
   255   0.539769E+04   0.275821E+01   0.715004E+02   0.200137E+07   0.157758E+04
   256   0.537710E+04   0.285087E+01   0.730703E+02   0.199262E+07   0.156450E+04
   257   0.535605E+04   0.294555E+01   0.746201E+02   0.198392E+07   0.155153E+04
   258   0.533446E+04   0.304261E+01   0.761625E+02   0.197528E+07   0.153864E+04
   259   0.531241E+04   0.314193E+01   0.776825E+02   0.196670E+07   0.152585E+04
   260   0.528998E+04   0.324348E+01   0.791951E+02   0.195818E+07   0.151316E+04
   261   0.526701E+04   0.334720E+01   0.806779E+02   0.194972E+07   0.150055E+04
   262   0.524351E+04   0.345332E+01   0.821533E+02   0.194131E+07   0.148804E+04
   263   0.521984E+04   0.356160E+01   0.836137E+02   0.193296E+07   0.147562E+04
   264   0.519556E+04   0.367212E+01   0.850517E+02   0.192466E+07   0.146328E+04
   265   0.517075E+04   0.378482E+01   0.864599E+02   0.191642E+07   0.145104E+04
   266   0.514563E+04   0.389991E+01   0.878605E+02   0.190823E+07   0.143888E+04
   267   0.511998E+04   0.401702E+01   0.892313E+02   0.190010E+07   0.142681E+04
   268   0.509394E+04   0.413652E+01   0.905871E+02   0.189202E+07   0.141483E+04
   269   0.506736E+04   0.425812E+01   0.919205E+02   0.188400E+07   0.140293E+04
   270   0.504055E+04   0.438189E+01   0.932314E+02   0.187603E+07   0.139112E+04
   271   0.501329E+04   0.450776E+01   0.945198E+02   0.186811E+07   0.137939E+04
   272   0.498578E+04   0.463602E+01   0.957783E+02   0.186024E+07   0.136774E+04
   273   0.495782E+04   0.476608E+01   0.970217E+02   0.185243E+07   0.135618E+04
   274   0.492955E+04   0.489854E+01   0.982278E+02   0.184466E+07   0.134470E+04
   275   0.490090E+04   0.503287E+01   0.994188E+02   0.183695E+07   0.133330E+04
   276   0.487201E+04   0.516931E+01   0.100572E+03   0.182928E+07   0.132198E+04
   277   0.484266E+04   0.530784E+01   0.101711E+03   0.182167E+07   0.131074E+04
   278   0.481308E+04   0.544839E+01   0.102812E+03   0.181410E+07   0.129957E+04
   279   0.478320E+04   0.559090E+01   0.103883E+03   0.180659E+07   0.128849E+04
   280   0.475300E+04   0.573535E+01   0.104939E+03   0.179912E+07   0.127748E+04
   281   0.472264E+04   0.588183E+01   0.105957E+03   0.179170E+07   0.126654E+04
   282   0.469183E+04   0.603005E+01   0.106945E+03   0.178432E+07   0.125568E+04
   283   0.466086E+04   0.618021E+01   0.107904E+03   0.177700E+07   0.124490E+04
   284   0.462966E+04   0.633225E+01   0.108832E+03   0.176972E+07   0.123419E+04
   285   0.459822E+04   0.648617E+01   0.109730E+03   0.176248E+07   0.122355E+04
   286   0.456648E+04   0.664182E+01   0.110591E+03   0.175529E+07   0.121298E+04
   287   0.453450E+04   0.679920E+01   0.111428E+03   0.174815E+07   0.120249E+04
   288   0.450237E+04   0.695830E+01   0.112229E+03   0.174105E+07   0.119206E+04
   289   0.447001E+04   0.711907E+01   0.112999E+03   0.173399E+07   0.118170E+04
   290   0.443748E+04   0.728134E+01   0.113739E+03   0.172698E+07   0.117141E+04
   291   0.440480E+04   0.744587E+01   0.114434E+03   0.172001E+07   0.116119E+04
   292   0.437167E+04   0.761153E+01   0.115106E+03   0.171309E+07   0.115104E+04
   293   0.433868E+04   0.777796E+01   0.115733E+03   0.170620E+07   0.114095E+04
   294   0.430538E+04   0.794664E+01   0.116338E+03   0.169936E+07   0.113093E+04
   295   0.427215E+04   0.811609E+01   0.116897E+03   0.169256E+07   0.112097E+04
   296   0.423861E+04   0.828779E+01   0.117426E+03   0.168579E+07   0.111108E+04
   297   0.420499E+04   0.845952E+01   0.117925E+03   0.167907E+07   0.110125E+04
   298   0.417114E+04   0.863350E+01   0.118379E+03   0.167239E+07   0.109148E+04
