#    L    TT             EE             TE          
   117   0.326065E+04   0.995222E+00  -0.341044E+02
   118   0.329486E+04   0.100554E+01  -0.346988E+02
   119   0.332908E+04   0.101547E+01  -0.352833E+02
   120   0.336346E+04   0.102489E+01  -0.358581E+02
   121   0.339784E+04   0.103408E+01  -0.364229E+02
   122   0.343229E+04   0.104274E+01  -0.369772E+02
   123   0.346683E+04   0.105095E+01  -0.375207E+02
   124   0.350144E+04   0.105879E+01  -0.380505E+02
   125   0.353605E+04   0.106617E+01  -0.385689E+02
   126   0.357074E+04   0.107318E+01  -0.390749E+02
   127   0.360544E+04   0.107966E+01  -0.395678E+02
   128   0.364013E+04   0.108577E+01  -0.400469E+02
   129   0.367489E+04   0.109135E+01  -0.405113E+02
   130   0.370966E+04   0.109640E+01  -0.409603E+02
   131   0.374443E+04   0.110107E+01  -0.413952E+02
   132   0.377927E+04   0.110522E+01  -0.418133E+02
   133   0.381404E+04   0.110891E+01  -0.422166E+02
   134   0.384881E+04   0.111215E+01  -0.426008E+02
   135   0.388357E+04   0.111486E+01  -0.429689E+02
   136   0.391819E+04   0.111705E+01  -0.433172E+02
   137   0.395281E+04   0.111878E+01  -0.436479E+02
   138   0.398736E+04   0.111999E+01  -0.439595E+02
   139   0.402169E+04   0.112082E+01  -0.442514E+02
   140   0.405609E+04   0.112105E+01  -0.445243E+02
   141   0.409027E+04   0.112076E+01  -0.447760E+02
   142   0.412446E+04   0.112001E+01  -0.450073E+02
   143   0.415857E+04   0.111881E+01  -0.452181E+02
   144   0.419246E+04   0.111708E+01  -0.454078E+02
   145   0.422620E+04   0.111498E+01  -0.455757E+02
   146   0.426003E+04   0.111228E+01  -0.457218E+02
   147   0.429348E+04   0.110920E+01  -0.458445E+02
   148   0.432679E+04   0.110560E+01  -0.459455E+02
   149   0.436003E+04   0.110154E+01  -0.460233E+02
   150   0.439298E+04   0.109711E+01  -0.460756E+02
   151   0.442578E+04   0.109223E+01  -0.461054E+02
   152   0.445828E+04   0.108682E+01  -0.461113E+02
   153   0.449064E+04   0.108104E+01  -0.460910E+02
   154   0.452278E+04   0.107488E+01  -0.460467E+02
   155   0.455469E+04   0.106834E+01  -0.459776E+02
   156   0.458623E+04   0.106144E+01  -0.458837E+02
   157   0.461768E+04   0.105415E+01  -0.457635E+02
   158   0.464884E+04   0.104657E+01  -0.456177E+02
   159   0.467969E+04   0.103854E+01  -0.454464E+02
   160   0.471031E+04   0.103021E+01  -0.452479E+02
   161   0.474070E+04   0.102166E+01  -0.450237E+02
   162   0.477078E+04   0.101273E+01  -0.447739E+02
   163   0.480069E+04   0.100351E+01  -0.444969E+02
   164   0.483015E+04   0.994058E+00  -0.441942E+02
   165   0.485944E+04   0.984312E+00  -0.438635E+02
   166   0.488842E+04   0.974417E+00  -0.435063E+02
   167   0.491716E+04   0.964151E+00  -0.431234E+02
   168   0.494543E+04   0.953886E+00  -0.427124E+02
   169   0.497338E+04   0.943324E+00  -0.422733E+02
   170   0.500101E+04   0.932690E+00  -0.418076E+02
   171   0.502818E+04   0.921982E+00  -0.413131E+02
   172   0.505494E+04   0.911128E+00  -0.407912E+02
   173   0.508124E+04   0.900126E+00  -0.402419E+02
   174   0.510720E+04   0.889276E+00  -0.396652E+02
   175   0.513277E+04   0.878280E+00  -0.390603E+02
   176   0.515779E+04   0.867360E+00  -0.384272E+02
   177   0.518240E+04   0.856444E+00  -0.377673E+02
   178   0.520654E+04   0.845754E+00  -0.370793E+02
   179   0.523021E+04   0.834995E+00  -0.363631E+02
   180   0.525355E+04   0.824388E+00  -0.356202E+02
   181   0.527634E+04   0.813935E+00  -0.348507E+02
   182   0.529866E+04   0.803711E+00  -0.340530E+02
   183   0.532044E+04   0.793641E+00  -0.332288E+02
   184   0.534181E+04   0.783801E+00  -0.323771E+02
