#    L    TT             EE             TE          
   508   0.250643E+04   0.756903E+01  -0.507145E+02
   509   0.251264E+04   0.749190E+01  -0.496201E+02
   510   0.251855E+04   0.741905E+01  -0.485094E+02
   511   0.252439E+04   0.735020E+01  -0.473827E+02
   512   0.252993E+04   0.728578E+01  -0.462413E+02
   513   0.253532E+04   0.722557E+01  -0.450867E+02
   514   0.254050E+04   0.716987E+01  -0.439190E+02
   515   0.254545E+04   0.711859E+01  -0.427381E+02
   516   0.255018E+04   0.707181E+01  -0.415456E+02
   517   0.255461E+04   0.702968E+01  -0.403421E+02
   518   0.255890E+04   0.699204E+01  -0.391284E+02
   519   0.256304E+04   0.695911E+01  -0.379038E+02
   520   0.256688E+04   0.693083E+01  -0.366713E+02
   521   0.257043E+04   0.690725E+01  -0.354308E+02
   522   0.257376E+04   0.688861E+01  -0.341824E+02
   523   0.257694E+04   0.687475E+01  -0.329274E+02
   524   0.257990E+04   0.686567E+01  -0.316668E+02
   525   0.258250E+04   0.686151E+01  -0.303996E+02
   526   0.258494E+04   0.686228E+01  -0.291282E+02
   527   0.258731E+04   0.686797E+01  -0.278533E+02
   528   0.258932E+04   0.687858E+01  -0.265764E+02
   529   0.259110E+04   0.689441E+01  -0.252959E+02
   530   0.259259E+04   0.691523E+01  -0.240157E+02
   531   0.259408E+04   0.694096E+01  -0.227326E+02
   532   0.259513E+04   0.697190E+01  -0.214504E+02
   533   0.259596E+04   0.700790E+01  -0.201692E+02
   534   0.259656E+04   0.704903E+01  -0.188896E+02
   535   0.259695E+04   0.709537E+01  -0.176124E+02
   536   0.259711E+04   0.714677E+01  -0.163375E+02
   537   0.259713E+04   0.720329E+01  -0.150666E+02
   538   0.259678E+04   0.726509E+01  -0.138002E+02
   539   0.259629E+04   0.733187E+01  -0.125391E+02
   540   0.259557E+04   0.740406E+01  -0.112841E+02
   541   0.259456E+04   0.748124E+01  -0.100351E+02
   542   0.259340E+04   0.756361E+01  -0.879444E+01
   543   0.259195E+04   0.765124E+01  -0.756156E+01
   544   0.259035E+04   0.774400E+01  -0.633745E+01
   545   0.258846E+04   0.784188E+01  -0.512269E+01
   546   0.258642E+04   0.794466E+01  -0.391832E+01
   547   0.258409E+04   0.805255E+01  -0.272462E+01
   548   0.258161E+04   0.816556E+01  -0.154262E+01
   549   0.257890E+04   0.828369E+01  -0.373012E+00
   550   0.257598E+04   0.840693E+01   0.783641E+00
   551   0.257291E+04   0.853529E+01   0.192674E+01
   552   0.256955E+04   0.866876E+01   0.305521E+01
   553   0.256604E+04   0.880585E+01   0.416884E+01
   554   0.256231E+04   0.894954E+01   0.526684E+01
   555   0.255835E+04   0.909760E+01   0.634839E+01
   556   0.255418E+04   0.925075E+01   0.741336E+01
   557   0.254986E+04   0.940827E+01   0.845998E+01
   558   0.254532E+04   0.957163E+01   0.948886E+01
   559   0.254056E+04   0.973859E+01   0.104993E+02
   560   0.253573E+04   0.990991E+01   0.114897E+02
   561   0.253053E+04   0.100863E+02   0.124603E+02
   562   0.252533E+04   0.102678E+02   0.134102E+02
   563   0.251991E+04   0.104529E+02   0.143409E+02
   564   0.251435E+04   0.106439E+02   0.152473E+02
   565   0.250856E+04   0.108377E+02   0.161330E+02
   566   0.250263E+04   0.110366E+02   0.169952E+02
   567   0.249655E+04   0.112390E+02   0.178346E+02
   568   0.249033E+04   0.114466E+02   0.186497E+02
   569   0.248389E+04   0.116585E+02   0.194427E+02
   570   0.247737E+04   0.118740E+02   0.202085E+02
   571   0.247064E+04   0.120938E+02   0.209493E+02
   572   0.246376E+04   0.123173E+02   0.216651E+02
   573   0.245680E+04   0.125443E+02   0.223538E+02
   574   0.244971E+04   0.127756E+02   0.230167E+02
   575   0.244246E+04   0.130098E+02   0.236517E+02
   576   0.243515E+04   0.132484E+02   0.242603E+02
   577   0.242761E+04   0.134905E+02   0.248410E+02
   578   0.242000E+04   0.137355E+02   0.253931E+02
   579   0.241232E+04   0.139848E+02   0.259173E+02
   580   0.240457E+04   0.142370E+02   0.264114E+02
   581   0.239653E+04   0.144920E+02   0.268777E+02
   582   0.238848E+04   0.147506E+02   0.273139E+02
   583   0.238037E+04   0.150120E+02   0.277194E+02
   584   0.237218E+04   0.152763E+02   0.280955E+02
   585   0.236393E+04   0.155435E+02   0.284408E+02
   586   0.235552E+04   0.158127E+02   0.287554E+02
   587   0.234712E+04   0.160856E+02   0.290392E+02
   588   0.233857E+04   0.163605E+02   0.292908E+02
   589   0.232996E+04   0.166383E+02   0.295117E+02
   590   0.232126E+04   0.169175E+02   0.297010E+02
   591   0.231258E+04   0.172003E+02   0.298582E+02
   592   0.230381E+04   0.174837E+02   0.299824E+02
   593   0.229498E+04   0.177707E+02   0.300759E+02
   594   0.228600E+04   0.180591E+02   0.301357E+02
   595   0.227702E+04   0.183482E+02   0.301640E+02
   596   0.226812E+04   0.186408E+02   0.301587E+02
   597   0.225915E+04   0.189326E+02   0.301212E+02
   598   0.225033E+04   0.192272E+02   0.300508E+02
   599   0.224136E+04   0.195233E+02   0.299483E+02
   600   0.223231E+04   0.198207E+02   0.298120E+02
   601   0.222327E+04   0.201195E+02   0.296429E+02
   602   0.221423E+04   0.204183E+02   0.294401E+02
   603   0.220512E+04   0.207191E+02   0.292060E+02
   604   0.219615E+04   0.210199E+02   0.289383E+02
   605   0.218712E+04   0.213213E+02   0.286377E+02
   606   0.217816E+04   0.216234E+02   0.283043E+02
   607   0.216897E+04   0.219261E+02   0.279381E+02
   608   0.216002E+04   0.222295E+02   0.275392E+02
   609   0.215113E+04   0.225320E+02   0.271075E+02
   610   0.214217E+04   0.228345E+02   0.266430E+02
   611   0.213329E+04   0.231377E+02   0.261465E+02
   612   0.212448E+04   0.234415E+02   0.256189E+02
   613   0.211560E+04   0.237422E+02   0.250577E+02
   614   0.210687E+04   0.240444E+02   0.244646E+02
   615   0.209814E+04   0.243450E+02   0.238404E+02
   616   0.208948E+04   0.246463E+02   0.231849E+02
   617   0.208097E+04   0.249468E+02   0.224983E+02
   618   0.207246E+04   0.252465E+02   0.217798E+02
   619   0.206395E+04   0.255461E+02   0.210323E+02
   620   0.205566E+04   0.258426E+02   0.202537E+02
   621   0.204730E+04   0.261392E+02   0.194448E+02
   622   0.203908E+04   0.264342E+02   0.186054E+02
   623   0.203101E+04   0.267269E+02   0.177379E+02
   624   0.202294E+04   0.270180E+02   0.168407E+02
   625   0.201495E+04   0.273077E+02   0.159140E+02
   626   0.200710E+04   0.275958E+02   0.149591E+02
   627   0.199940E+04   0.278817E+02   0.139760E+02
   628   0.199177E+04   0.281652E+02   0.129649E+02
   629   0.198429E+04   0.284466E+02   0.119263E+02
   630   0.197681E+04   0.287256E+02   0.108597E+02
   631   0.196948E+04   0.290025E+02   0.976783E+01
   632   0.196236E+04   0.292763E+02   0.864862E+01
   633   0.195525E+04   0.295486E+02   0.750425E+01
   634   0.194835E+04   0.298164E+02   0.633473E+01
   635   0.194160E+04   0.300828E+02   0.514042E+01
   636   0.193485E+04   0.303469E+02   0.392199E+01
   637   0.192832E+04   0.306058E+02   0.267883E+01
   638   0.192194E+04   0.308632E+02   0.141309E+01
   639   0.191570E+04   0.311161E+02   0.123811E+00
   640   0.190961E+04   0.313669E+02  -0.118743E+01
   641   0.190366E+04   0.316139E+02  -0.252066E+01
   642   0.189779E+04   0.318565E+02  -0.387513E+01
   643   0.189213E+04   0.320968E+02  -0.525035E+01
   644   0.188670E+04   0.323313E+02  -0.664567E+01
   645   0.188134E+04   0.325628E+02  -0.806080E+01
   646   0.187612E+04   0.327906E+02  -0.949509E+01
   647   0.187120E+04   0.330139E+02  -0.109484E+02
   648   0.186627E+04   0.332336E+02  -0.124188E+02
   649   0.186164E+04   0.334481E+02  -0.139071E+02
   650   0.185715E+04   0.336582E+02  -0.154117E+02
   651   0.185281E+04   0.338654E+02  -0.169328E+02
   652   0.184861E+04   0.340674E+02  -0.184695E+02
   653   0.184471E+04   0.342635E+02  -0.200203E+02
   654   0.184088E+04   0.344560E+02  -0.215847E+02
   655   0.183719E+04   0.346441E+02  -0.231631E+02
   656   0.183379E+04   0.348270E+02  -0.247543E+02
   657   0.183054E+04   0.350048E+02  -0.263567E+02
   658   0.182736E+04   0.351782E+02  -0.279711E+02
   659   0.182455E+04   0.353465E+02  -0.295959E+02
   660   0.182188E+04   0.355090E+02  -0.312305E+02
   661   0.181936E+04   0.356664E+02  -0.328733E+02
   662   0.181706E+04   0.358193E+02  -0.345259E+02
   663   0.181489E+04   0.359672E+02  -0.361868E+02
   664   0.181295E+04   0.361085E+02  -0.378538E+02
   665   0.181115E+04   0.362448E+02  -0.395275E+02
   666   0.180957E+04   0.363759E+02  -0.412066E+02
   667   0.180821E+04   0.365012E+02  -0.428910E+02
   668   0.180691E+04   0.366215E+02  -0.445800E+02
   669   0.180599E+04   0.367359E+02  -0.462722E+02
   670   0.180513E+04   0.368445E+02  -0.479661E+02
   671   0.180456E+04   0.369488E+02  -0.496631E+02
   672   0.180407E+04   0.370459E+02  -0.513617E+02
   673   0.180386E+04   0.371386E+02  -0.530599E+02
   674   0.180380E+04   0.372248E+02  -0.547583E+02
   675   0.180395E+04   0.373052E+02  -0.564562E+02
   676   0.180425E+04   0.373798E+02  -0.581514E+02
   677   0.180477E+04   0.374486E+02  -0.598446E+02
   678   0.180550E+04   0.375109E+02  -0.615352E+02
   679   0.180638E+04   0.375682E+02  -0.632216E+02
   680   0.180755E+04   0.376197E+02  -0.649039E+02
   681   0.180886E+04   0.376647E+02  -0.665799E+02
   682   0.181031E+04   0.377032E+02  -0.682510E+02
   683   0.181206E+04   0.377375E+02  -0.699165E+02
   684   0.181387E+04   0.377637E+02  -0.715743E+02
   685   0.181583E+04   0.377850E+02  -0.732243E+02
   686   0.181800E+04   0.377997E+02  -0.748576E+02
   687   0.182047E+04   0.378095E+02  -0.764855E+02
   688   0.182300E+04   0.378120E+02  -0.781057E+02
   689   0.182575E+04   0.378088E+02  -0.797108E+02
   690   0.182864E+04   0.378005E+02  -0.813082E+02
   691   0.183175E+04   0.377844E+02  -0.828905E+02
   692   0.183501E+04   0.377639E+02  -0.844578E+02
   693   0.183848E+04   0.377370E+02  -0.860175E+02
   694   0.184202E+04   0.377036E+02  -0.875548E+02
   695   0.184585E+04   0.376660E+02  -0.890771E+02
   696   0.184982E+04   0.376212E+02  -0.905993E+02
   697   0.185394E+04   0.375706E+02  -0.920916E+02
   698   0.185820E+04   0.375136E+02  -0.935691E+02
   699   0.186260E+04   0.374516E+02  -0.950242E+02
   700   0.186722E+04   0.373831E+02  -0.964645E+02
   701   0.187199E+04   0.373089E+02  -0.978899E+02
   702   0.187690E+04   0.372298E+02  -0.992856E+02
   703   0.188195E+04   0.371442E+02  -0.100681E+03
   704   0.188714E+04   0.370536E+02  -0.102040E+03
   705   0.189240E+04   0.369565E+02  -0.103377E+03
   706   0.189788E+04   0.368545E+02  -0.104699E+03
   707   0.190343E+04   0.367468E+02  -0.105998E+03
   708   0.190927E+04   0.366341E+02  -0.107261E+03
   709   0.191511E+04   0.365157E+02  -0.108517E+03
   710   0.192116E+04   0.363916E+02  -0.109743E+03
   711   0.192728E+04   0.362626E+02  -0.110940E+03
   712   0.193354E+04   0.361286E+02  -0.112123E+03
   713   0.194002E+04   0.359889E+02  -0.113268E+03
   714   0.194643E+04   0.358450E+02  -0.114392E+03
   715   0.195304E+04   0.356953E+02  -0.115494E+03
   716   0.195981E+04   0.355408E+02  -0.116567E+03
   717   0.196664E+04   0.353820E+02  -0.117603E+03
   718   0.197354E+04   0.352183E+02  -0.118625E+03
   719   0.198058E+04   0.350481E+02  -0.119602E+03
   720   0.198762E+04   0.348745E+02  -0.120566E+03
   721   0.199495E+04   0.346974E+02  -0.121485E+03
   722   0.200220E+04   0.345146E+02  -0.122376E+03
   723   0.200959E+04   0.343283E+02  -0.123245E+03
   724   0.201705E+04   0.341370E+02  -0.124085E+03
   725   0.202458E+04   0.339423E+02  -0.124888E+03
   726   0.203226E+04   0.337449E+02  -0.125655E+03
   727   0.203993E+04   0.335418E+02  -0.126401E+03
   728   0.204767E+04   0.333337E+02  -0.127110E+03
   729   0.205548E+04   0.331228E+02  -0.127790E+03
   730   0.206329E+04   0.329085E+02  -0.128434E+03
   731   0.207131E+04   0.326892E+02  -0.129042E+03
   732   0.207926E+04   0.324687E+02  -0.129614E+03
   733   0.208734E+04   0.322431E+02  -0.130164E+03
   734   0.209543E+04   0.320149E+02  -0.130664E+03
   735   0.210359E+04   0.317824E+02  -0.131149E+03
   736   0.211166E+04   0.315471E+02  -0.131583E+03
   737   0.211988E+04   0.313098E+02  -0.131997E+03
   738   0.212803E+04   0.310698E+02  -0.132359E+03
   739   0.213624E+04   0.308263E+02  -0.132692E+03
   740   0.214445E+04   0.305800E+02  -0.132997E+03
   741   0.215274E+04   0.303302E+02  -0.133266E+03
   742   0.216101E+04   0.300806E+02  -0.133492E+03
   743   0.216929E+04   0.298289E+02  -0.133688E+03
   744   0.217764E+04   0.295737E+02  -0.133842E+03
   745   0.218591E+04   0.293165E+02  -0.133974E+03
   746   0.219410E+04   0.290580E+02  -0.134048E+03
   747   0.220229E+04   0.287967E+02  -0.134101E+03
   748   0.221055E+04   0.285348E+02  -0.134119E+03
   749   0.221881E+04   0.282694E+02  -0.134107E+03
   750   0.222699E+04   0.280041E+02  -0.134053E+03
   751   0.223517E+04   0.277367E+02  -0.133962E+03
   752   0.224335E+04   0.274695E+02  -0.133828E+03
   753   0.225145E+04   0.271995E+02  -0.133666E+03
   754   0.225948E+04   0.269297E+02  -0.133460E+03
   755   0.226758E+04   0.266584E+02  -0.133226E+03
   756   0.227545E+04   0.263866E+02  -0.132957E+03
   757   0.228347E+04   0.261149E+02  -0.132644E+03
   758   0.229127E+04   0.258419E+02  -0.132295E+03
   759   0.229914E+04   0.255682E+02  -0.131918E+03
   760   0.230686E+04   0.252946E+02  -0.131505E+03
   761   0.231451E+04   0.250212E+02  -0.131057E+03
   762   0.232223E+04   0.247478E+02  -0.130573E+03
   763   0.232973E+04   0.244753E+02  -0.130053E+03
   764   0.233722E+04   0.242022E+02  -0.129505E+03
   765   0.234457E+04   0.239291E+02  -0.128914E+03
   766   0.235192E+04   0.236576E+02  -0.128295E+03
   767   0.235912E+04   0.233869E+02  -0.127640E+03
   768   0.236624E+04   0.231163E+02  -0.126942E+03
   769   0.237330E+04   0.228458E+02  -0.126223E+03
   770   0.238020E+04   0.225775E+02  -0.125469E+03
   771   0.238703E+04   0.223101E+02  -0.124679E+03
   772   0.239371E+04   0.220442E+02  -0.123846E+03
   773   0.240032E+04   0.217798E+02  -0.122993E+03
   774   0.240678E+04   0.215169E+02  -0.122111E+03
   775   0.241324E+04   0.212556E+02  -0.121193E+03
   776   0.241941E+04   0.209965E+02  -0.120248E+03
   777   0.242551E+04   0.207389E+02  -0.119267E+03
   778   0.243168E+04   0.204835E+02  -0.118250E+03
   779   0.243748E+04   0.202304E+02  -0.117212E+03
   780   0.244321E+04   0.199780E+02  -0.116139E+03
   781   0.244887E+04   0.197300E+02  -0.115045E+03
   782   0.245430E+04   0.194836E+02  -0.113930E+03
   783   0.245967E+04   0.192401E+02  -0.112773E+03
   784   0.246489E+04   0.189995E+02  -0.111587E+03
   785   0.246989E+04   0.187611E+02  -0.110380E+03
   786   0.247481E+04   0.185257E+02  -0.109123E+03
   787   0.247952E+04   0.182939E+02  -0.107852E+03
   788   0.248409E+04   0.180643E+02  -0.106561E+03
   789   0.248850E+04   0.178368E+02  -0.105249E+03
   790   0.249285E+04   0.176153E+02  -0.103901E+03
   791   0.249698E+04   0.173959E+02  -0.102525E+03
   792   0.250096E+04   0.171808E+02  -0.101135E+03
   793   0.250473E+04   0.169702E+02  -0.997094E+02
   794   0.250828E+04   0.167631E+02  -0.982705E+02
   795   0.251168E+04   0.165590E+02  -0.968032E+02
   796   0.251508E+04   0.163599E+02  -0.953224E+02
   797   0.251812E+04   0.161637E+02  -0.938132E+02
   798   0.252102E+04   0.159726E+02  -0.922904E+02
   799   0.252377E+04   0.157858E+02  -0.907465E+02
   800   0.252638E+04   0.156026E+02  -0.891817E+02
   801   0.252877E+04   0.154244E+02  -0.876032E+02
   802   0.253087E+04   0.152506E+02  -0.859887E+02
   803   0.253297E+04   0.150803E+02  -0.843754E+02
   804   0.253478E+04   0.149158E+02  -0.827336E+02
   805   0.253653E+04   0.147556E+02  -0.810781E+02
   806   0.253798E+04   0.145997E+02  -0.794089E+02
   807   0.253921E+04   0.144495E+02  -0.777260E+02
   808   0.254023E+04   0.143044E+02  -0.760219E+02
   809   0.254118E+04   0.141643E+02  -0.743114E+02
   810   0.254184E+04   0.140291E+02  -0.725797E+02
   811   0.254229E+04   0.138990E+02  -0.708350E+02
   812   0.254259E+04   0.137753E+02  -0.690817E+02
   813   0.254268E+04   0.136551E+02  -0.673189E+02
   814   0.254270E+04   0.135414E+02  -0.655445E+02
   815   0.254243E+04   0.134326E+02  -0.637607E+02
   816   0.254187E+04   0.133295E+02  -0.619674E+02
   817   0.254117E+04   0.132314E+02  -0.601654E+02
   818   0.254040E+04   0.131397E+02  -0.583553E+02
   819   0.253934E+04   0.130529E+02  -0.565380E+02
   820   0.253814E+04   0.129719E+02  -0.547133E+02
   821   0.253666E+04   0.128957E+02  -0.528842E+02
   822   0.253503E+04   0.128267E+02  -0.510493E+02
   823   0.253318E+04   0.127626E+02  -0.492091E+02
   824   0.253105E+04   0.127049E+02  -0.473645E+02
   825   0.252886E+04   0.126522E+02  -0.455176E+02
   826   0.252637E+04   0.126065E+02  -0.436676E+02
   827   0.252367E+04   0.125657E+02  -0.418168E+02
   828   0.252090E+04   0.125314E+02  -0.399644E+02
   829   0.251784E+04   0.125034E+02  -0.381118E+02
   830   0.251465E+04   0.124810E+02  -0.362612E+02
   831   0.251124E+04   0.124642E+02  -0.344112E+02
   832   0.250761E+04   0.124531E+02  -0.325631E+02
   833   0.250385E+04   0.124483E+02  -0.307177E+02
   834   0.249980E+04   0.124491E+02  -0.288749E+02
   835   0.249568E+04   0.124570E+02  -0.270362E+02
   836   0.249120E+04   0.124698E+02  -0.252016E+02
   837   0.248665E+04   0.124890E+02  -0.233725E+02
   838   0.248189E+04   0.125144E+02  -0.215488E+02
   839   0.247684E+04   0.125455E+02  -0.197306E+02
   840   0.247173E+04   0.125836E+02  -0.179200E+02
   841   0.246640E+04   0.126266E+02  -0.161185E+02
   842   0.246085E+04   0.126752E+02  -0.143231E+02
   843   0.245517E+04   0.127301E+02  -0.125396E+02
   844   0.244920E+04   0.127913E+02  -0.107644E+02
   845   0.244316E+04   0.128574E+02  -0.900032E+01
   846   0.243698E+04   0.129313E+02  -0.724790E+01
   847   0.243066E+04   0.130093E+02  -0.550680E+01
   848   0.242413E+04   0.130936E+02  -0.377891E+01
   849   0.241731E+04   0.131835E+02  -0.206358E+01
   850   0.241050E+04   0.132797E+02  -0.361867E+00
   851   0.240340E+04   0.133815E+02   0.132565E+01
   852   0.239616E+04   0.134896E+02   0.299863E+01
   853   0.238877E+04   0.136025E+02   0.465636E+01
   854   0.238118E+04   0.137218E+02   0.629747E+01
   855   0.237337E+04   0.138466E+02   0.792298E+01
   856   0.236556E+04   0.139755E+02   0.953106E+01
   857   0.235747E+04   0.141107E+02   0.111210E+02
   858   0.234924E+04   0.142530E+02   0.126929E+02
   859   0.234087E+04   0.143979E+02   0.142475E+02
   860   0.233243E+04   0.145491E+02   0.157818E+02
   861   0.232378E+04   0.147058E+02   0.172959E+02
   862   0.231498E+04   0.148674E+02   0.187906E+02
   863   0.230605E+04   0.150345E+02   0.202638E+02
   864   0.229698E+04   0.152057E+02   0.217161E+02
   865   0.228761E+04   0.153825E+02   0.231454E+02
   866   0.227848E+04   0.155641E+02   0.245524E+02
   867   0.226898E+04   0.157512E+02   0.259366E+02
   868   0.225942E+04   0.159425E+02   0.272978E+02
   869   0.224972E+04   0.161385E+02   0.286355E+02
   870   0.223987E+04   0.163387E+02   0.299488E+02
   871   0.222996E+04   0.165436E+02   0.312371E+02
   872   0.221991E+04   0.167534E+02   0.325012E+02
   873   0.220972E+04   0.169673E+02   0.337395E+02
   874   0.219945E+04   0.171861E+02   0.349515E+02
   875   0.218905E+04   0.174074E+02   0.361386E+02
   876   0.217851E+04   0.176343E+02   0.372994E+02
   877   0.216805E+04   0.178646E+02   0.384324E+02
   878   0.215729E+04   0.180982E+02   0.395384E+02
   879   0.214655E+04   0.183367E+02   0.406174E+02
   880   0.213573E+04   0.185785E+02   0.416687E+02
   881   0.212478E+04   0.188230E+02   0.426909E+02
   882   0.211375E+04   0.190716E+02   0.436847E+02
   883   0.210273E+04   0.193243E+02   0.446486E+02
   884   0.209150E+04   0.195790E+02   0.455850E+02
   885   0.208019E+04   0.198377E+02   0.464908E+02
   886   0.206889E+04   0.200998E+02   0.473669E+02
   887   0.205745E+04   0.203639E+02   0.482133E+02
   888   0.204609E+04   0.206321E+02   0.490292E+02
   889   0.203443E+04   0.209015E+02   0.498147E+02
   890   0.202286E+04   0.211750E+02   0.505683E+02
   891   0.201128E+04   0.214505E+02   0.512923E+02
   892   0.199964E+04   0.217279E+02   0.519859E+02
   893   0.198786E+04   0.220088E+02   0.526477E+02
   894   0.197615E+04   0.222908E+02   0.532777E+02
   895   0.196430E+04   0.225748E+02   0.538781E+02
   896   0.195245E+04   0.228616E+02   0.544460E+02
   897   0.194053E+04   0.231503E+02   0.549829E+02
   898   0.192869E+04   0.234402E+02   0.554880E+02
   899   0.191677E+04   0.237321E+02   0.559607E+02
   900   0.190479E+04   0.240253E+02   0.564023E+02
   901   0.189288E+04   0.243198E+02   0.568116E+02
   902   0.188090E+04   0.246155E+02   0.571891E+02
   903   0.186877E+04   0.249125E+02   0.575343E+02
   904   0.185687E+04   0.252100E+02   0.578471E+02
   905   0.184482E+04   0.255096E+02   0.581275E+02
   906   0.183278E+04   0.258089E+02   0.583757E+02
   907   0.182081E+04   0.261089E+02   0.585915E+02
   908   0.180891E+04   0.264093E+02   0.587758E+02
   909   0.179694E+04   0.267104E+02   0.589271E+02
   910   0.178490E+04   0.270128E+02   0.590476E+02
   911   0.177293E+04   0.273136E+02   0.591351E+02
   912   0.176097E+04   0.276157E+02   0.591912E+02
   913   0.174878E+04   0.279169E+02   0.592151E+02
   914   0.173696E+04   0.282180E+02   0.592083E+02
   915   0.172499E+04   0.285190E+02   0.591700E+02
   916   0.171318E+04   0.288191E+02   0.590997E+02
   917   0.170128E+04   0.291198E+02   0.589993E+02
   918   0.168954E+04   0.294190E+02   0.588669E+02
   919   0.167779E+04   0.297174E+02   0.587038E+02
   920   0.166605E+04   0.300149E+02   0.585093E+02
   921   0.165445E+04   0.303116E+02   0.582842E+02
   922   0.164278E+04   0.306068E+02   0.580292E+02
   923   0.163117E+04   0.309004E+02   0.577443E+02
   924   0.161965E+04   0.311933E+02   0.574288E+02
   925   0.160826E+04   0.314839E+02   0.570833E+02
   926   0.159681E+04   0.317737E+02   0.567095E+02
   927   0.158549E+04   0.320613E+02   0.563059E+02
   928   0.157425E+04   0.323473E+02   0.558730E+02
   929   0.156301E+04   0.326312E+02   0.554125E+02
   930   0.155192E+04   0.329121E+02   0.549229E+02
   931   0.154082E+04   0.331923E+02   0.544055E+02
   932   0.152986E+04   0.334688E+02   0.538605E+02
   933   0.151898E+04   0.337431E+02   0.532885E+02
   934   0.150817E+04   0.340160E+02   0.526903E+02
   935   0.149743E+04   0.342852E+02   0.520636E+02
   936   0.148683E+04   0.345515E+02   0.514115E+02
   937   0.147623E+04   0.348156E+02   0.507330E+02
   938   0.146577E+04   0.350769E+02   0.500291E+02
   939   0.145546E+04   0.353338E+02   0.492995E+02
   940   0.144515E+04   0.355886E+02   0.485452E+02
   941   0.143498E+04   0.358398E+02   0.477660E+02
   942   0.142488E+04   0.360874E+02   0.469627E+02
   943   0.141499E+04   0.363314E+02   0.461360E+02
   944   0.140518E+04   0.365718E+02   0.452851E+02
   945   0.139543E+04   0.368079E+02   0.444115E+02
   946   0.138583E+04   0.370412E+02   0.435152E+02
   947   0.137630E+04   0.372702E+02   0.425977E+02
   948   0.136676E+04   0.374964E+02   0.416580E+02
   949   0.135751E+04   0.377169E+02   0.406979E+02
   950   0.134833E+04   0.379338E+02   0.397163E+02
   951   0.133930E+04   0.381472E+02   0.387149E+02
   952   0.133041E+04   0.383563E+02   0.376943E+02
   953   0.132158E+04   0.385598E+02   0.366537E+02
   954   0.131290E+04   0.387597E+02   0.355947E+02
   955   0.130428E+04   0.389547E+02   0.345172E+02
   956   0.129581E+04   0.391455E+02   0.334212E+02
   957   0.128755E+04   0.393306E+02   0.323088E+02
   958   0.127929E+04   0.395107E+02   0.311787E+02
   959   0.127131E+04   0.396874E+02   0.300321E+02
   960   0.126340E+04   0.398585E+02   0.288714E+02
   961   0.125556E+04   0.400247E+02   0.276943E+02
   962   0.124793E+04   0.401859E+02   0.265030E+02
   963   0.124044E+04   0.403423E+02   0.252974E+02
   964   0.123310E+04   0.404931E+02   0.240790E+02
   965   0.122582E+04   0.406390E+02   0.228470E+02
   966   0.121875E+04   0.407800E+02   0.216029E+02
   967   0.121175E+04   0.409162E+02   0.203467E+02
   968   0.120489E+04   0.410453E+02   0.190790E+02
   969   0.119824E+04   0.411695E+02   0.178013E+02
   970   0.119174E+04   0.412890E+02   0.165121E+02
   971   0.118529E+04   0.414029E+02   0.152136E+02
   972   0.117899E+04   0.415104E+02   0.139065E+02
   973   0.117283E+04   0.416125E+02   0.125899E+02
   974   0.116688E+04   0.417097E+02   0.112647E+02
   975   0.116107E+04   0.418014E+02   0.993299E+01
   976   0.115540E+04   0.418861E+02   0.859399E+01
   977   0.114986E+04   0.419660E+02   0.724915E+01
   978   0.114439E+04   0.420403E+02   0.589828E+01
   979   0.113921E+04   0.421092E+02   0.454269E+01
   980   0.113410E+04   0.421718E+02   0.318218E+01
   981   0.112912E+04   0.422275E+02   0.181745E+01
   982   0.112428E+04   0.422791E+02   0.449504E+00
   983   0.111965E+04   0.423245E+02  -0.921606E+00
   984   0.111509E+04   0.423621E+02  -0.229518E+01
   985   0.111074E+04   0.423958E+02  -0.367082E+01
   986   0.110646E+04   0.424233E+02  -0.504754E+01
   987   0.110231E+04   0.424445E+02  -0.642547E+01
   988   0.109838E+04   0.424610E+02  -0.780346E+01
   989   0.109458E+04   0.424706E+02  -0.918022E+01
   990   0.109092E+04   0.424777E+02  -0.105572E+02
   991   0.108741E+04   0.424756E+02  -0.119325E+02
   992   0.108403E+04   0.424680E+02  -0.133060E+02
   993   0.108071E+04   0.424543E+02  -0.146772E+02
   994   0.107761E+04   0.424358E+02  -0.160446E+02
   995   0.107472E+04   0.424111E+02  -0.174089E+02
   996   0.107190E+04   0.423788E+02  -0.187687E+02
   997   0.106921E+04   0.423433E+02  -0.201248E+02
   998   0.106666E+04   0.423008E+02  -0.214744E+02
   999   0.106426E+04   0.422528E+02  -0.228188E+02
  1000   0.106199E+04   0.421995E+02  -0.241575E+02
  1001   0.105986E+04   0.421399E+02  -0.254882E+02
  1002   0.105779E+04   0.420741E+02  -0.268117E+02
  1003   0.105594E+04   0.420037E+02  -0.281281E+02
  1004   0.105423E+04   0.419270E+02  -0.294359E+02
  1005   0.105273E+04   0.418450E+02  -0.307337E+02
  1006   0.105129E+04   0.417567E+02  -0.320231E+02
  1007   0.104992E+04   0.416630E+02  -0.333026E+02
  1008   0.104847E+04   0.415639E+02  -0.345714E+02
  1009   0.104738E+04   0.414594E+02  -0.358297E+02
  1010   0.104643E+04   0.413501E+02  -0.370767E+02
  1011   0.104554E+04   0.412362E+02  -0.383118E+02
  1012   0.104479E+04   0.411161E+02  -0.395365E+02
  1013   0.104418E+04   0.409920E+02  -0.407471E+02
